,threshold,PTC6,PKP1,UTH1,PDA1,PDB1,IRC15,PDX1,MAE1,AIM22,KGD2,LPD1,PYC1,PYC2,PKP2,HUL4,NCE103,SIP5,LSC1,YMR31,KGD1,KSS1,FUS3,HOG1,STE11,PBS2,STE7,GPA1,SHO1,SLT2,STE5,STE50,STE12,PTP2,STE4,SSK1,PTP3,MKK1,SKO1,PTC1,SKN7,MKK2,FAR1,SLN1,STE18,YPD1,TEC1,SSK2,ACA1,MSB2,SMK1,DIG1,MSG5,DIG2,HSF1,SSK22,PTC2,KDX1,RLM1,HKR1,MSN2,SMP1,OPY2,HMS2,MGA1,HOT1,FPS1,NBP2,RCK2,PTP1,ASK10,STL1,SDP1,SMI1,FKS1,AHK1,RGC1,PHD1,PTC7
0,800,0.43188168883424866,0.36910206094340003,0.1990162502223513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,805,,0.09396061406859256,,0.24013146272924327,0.19888128713373102,0.17177926174938957,0.17177926174938957,0.12346811256965408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,810,,0.06874362816885837,,0.21088971892360467,0.18375990003883527,0.13748634597245388,0.16461578777158464,0.09701827315220937,0.13748634597245388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,815,,0.09396061406859256,,0.24013146272924327,0.19888128713373102,0.17177926174938957,0.17177926174938957,0.12346811256965408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,820,0.5857863751051304,,0.4142136248948697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,825,0.03483444777257276,0.034056587559412266,0.005608801361329174,0.14262605692707295,0.12834899684119416,0.0763388251467425,0.10157556671971373,0.06435247573178422,0.090988861878448,0.10157556671971373,0.090988861878448,0.06435247573178422,0.06435247573178422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,830,0.033617374488427255,0.03261448833083169,0.005806300611914086,0.1512691193852022,0.13201581817655103,0.09203962342106309,0.12480999438308799,0.048927078322296966,0.11125473176746227,0.12480999438308799,0.11125473176746227,,,0.026929596772410243,0.004651148190202991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,835,0.03378878667075478,0.032780414433663065,0.005836993183640342,0.15200225830661848,0.1327668822000298,0.09255892045914448,0.12552078003601216,0.04919267606242492,0.11188684680407944,0.12552078003601216,0.11188684680407944,,,0.026257815003541022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,840,0.03295602227257828,0.03295602227257828,,0.1529082991658439,0.1337326870677311,0.09322544479207885,0.12643498339727685,0.04953056910687399,0.11269944030081988,0.12643498339727685,0.11269944030081988,,,0.02642210551475445,,1.2056838421027137e-09,1.2056838421027137e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,845,0.023187348840931862,0.023187348840931862,,0.12921640190354847,0.11729153968557261,0.06840306427578213,0.1039790417000184,0.057224474968297634,0.08318984715540508,0.10799046569758151,0.09910993693281996,,0.04531580918844588,0.01927866035965502,,,,0.09172755637659043,0.03089850407441913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,850,0.0258595058344856,0.0258595058344856,,0.1336152006713456,0.11960691381537915,0.0708570053032059,0.09468679245396246,0.059589627248879055,0.08498553623704211,0.09876624007242729,0.08906498385550692,0.06283366525173302,0.059589627248879055,0.021195696847201333,,0.011846855522763136,0.011846855522763136,,0.02979598827994073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,855,0.02136017756573752,0.02136017756573752,,0.12271952763913496,0.11196644188304763,0.06062977764284243,0.08365349800673783,0.04861899183376981,0.0748311656554226,0.09832675346060403,0.09062509957939595,0.050817643730256636,0.04861899183376981,0.017857168729041285,,0.008653967620090202,0.008653967620090202,,0.0406815500549257,0.09062509957939595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,860,0.02730471095218551,0.02730471095218551,,0.13651171828948103,0.12138864004318299,0.07177576048268709,0.08417784959359231,0.06318035290412827,0.07248734302680496,0.09859992101677206,0.08854681370082719,0.06682253222170252,0.06318035290412827,0.022234503497042365,,0.0130016241590391,0.0130016241590391,,0.03048154209720176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,865,0.001866797952307059,,,,,,,,,,,,,,,,,,,,0.04813834029517364,0.04771599359512098,0.046433142614676126,0.04281813134352385,0.04036138866954559,0.03522618212457682,0.03013633198363189,0.028339875335495205,0.028309781924622742,0.027163685332973607,0.026964850283469784,0.026870629813123253,0.025730540452511514,0.02556871714160897,0.024553389537095977,0.02445311376204077,0.023950958056653034,0.023764530152646873,0.02190702558723349,0.020760507280380047,0.0206219127158683,0.020488096964038444,0.020139907553893704,0.02010076119553186,0.019808259535304296,0.0178822590219289,0.01705376650897596,0.016436443318310325,0.015318275372306274,0.014958434037888544,0.014764845235085844,0.014459493358882422,0.01220018529734458,0.011848882896373775,0.011798719955408188,0.011209060299562241,0.010298097399011845,0.009358255036154093,0.00882023275061488,0.00860967542244244,0.008272058644592493,0.008166196014613067,0.0075267324181949305,0.0075267324181949305,0.006837769328184194,0.006563077423367033,0.00576970899651873,0.005512155241930243,0.005366298686828059,0.004161445192840686,0.004161445192840686,0.0037664541272945835,0.00320986928186816,0.00320986928186816,0.002225353606771628,0.0005153570307541761,,
14,870,0.0019156407384141782,,,,,,,,,,,,,,,,,,,,0.04874637825974296,0.04843052730757312,0.044117626984425666,0.041407170185623836,0.04095130091366527,0.03631726877802016,0.03198515358301142,0.02674425121775128,0.02650596610013985,0.028981150482049235,0.027780184140721583,0.029172676115772078,0.024187192861305554,0.02756625757028153,0.02275999319532447,0.023396628181841895,0.022934938010764978,0.024193351451879407,0.01870836234792366,0.019909072191039264,0.017127523641136285,0.022333737551110903,0.020267539051251664,0.021778692669301974,0.019790799005482515,0.019141070694773665,0.013917960600986675,0.01698328533184447,0.015626784240284065,0.015585338685606123,0.012963995499299906,0.01294576207922339,0.012963995499299906,0.012279659236555975,0.011816987937647171,0.011558184094497232,0.010360579245257866,0.00933412038508021,0.009158669959476345,0.008794423088022803,0.00832948379626809,0.008351036420629778,0.007950573067172461,0.007950573067172461,0.006989987960374304,0.006499342153645912,0.005826814594974955,0.0036095548903241413,0.005140210175746239,0.004141311569040977,0.004141311569040977,0.00377996491582376,0.0031935953161153735,0.0031935953161153735,0.0021881346409211642,0.0005317566787168347,0.003952776636956547,0.0027897781175499417
15,875,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333
16,880,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333
17,885,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333
18,890,0.042324465186977044,0.03120784267047948,,0.16403336014961062,0.14551437243463428,0.10541430167067875,0.12226394273453359,0.07272925099267961,,0.12226394273453359,0.10541430167067875,,0.07272925099267961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016104968762514646
19,895,0.042324465186977044,0.03120784267047948,,0.16403336014961062,0.14551437243463428,0.10541430167067875,0.12226394273453359,0.07272925099267961,,0.12226394273453359,0.10541430167067875,,0.07272925099267961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016104968762514646
20,900,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
