threshold,BAT1,OAC1,PDC6,PDC1,PDC5,ARO9,BDH1,ARO10,ARO80,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO2,ENO1,CDC19,PYK2,PFK1,ERR3,ERR1,ILV2,TDH3,ILV1,ILV6,ILV3,ILV5,CHA1,TRP5,HOM6,HOM2,HOM3,DSD1,HIS1,RPO21,RPO26,SPT15,RPB3,RPB5,RPB4,RPB2,HSP104,HSP78,BTN2,SIS1,HSP26,YJL144W,CUR1,ADH5,THI3,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1
824,0.25386186534207417,0.17950749272214145,0.06508515725047194,0.06508515725047194,0.06508515725047194,0.06389731366212394,0.05170683326131909,0.02301639692430279,0.02301639692430279,0.014254732684557535,0.013901181535744378,0.013893308639173894,0.013849410058833472,0.013801511737228779,0.013768451802018583,0.013511117525818121,0.013405644683276766,0.013214955756074901,0.013024677787031508,0.012932549495803016,0.012932549495803016,0.012210987682243,0.01191407644446611,0.011642269964561983,0.011480804119684777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,0.254227728239043,0.17976619692423357,0.06517895725524715,0.06517895725524717,0.06517895725524715,0.06398940175993041,0.05178135257435014,0.023049567899569846,0.023049567899569846,0.014161951705397805,0.013926719303086808,0.013805249055295215,0.013874911852882602,0.013714141735887994,0.01368101088623309,0.013422373714054046,0.013309322624126823,0.01312800111387458,0.01293926384689831,0.01284739733608052,0.012847397336080523,0.012131316156952883,0.011836851891809871,0.011566771177153141,0.011406633201747458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,0.2580577630152047,0.18247444118447714,0.06473858060224172,0.06473858060224172,0.06473858060224172,0.06355706224789272,0.05143149581543502,0.022893835252220416,0.022893835252220416,0.0139127404186994,0.013684250002574958,0.01358459588855829,0.013635426043761974,0.013498360229687324,0.013101495888240968,0.013214704821283464,0.013079866238274783,0.012571507397867996,0.012762682859124224,0.01265343526834766,0.012291027453308699,0.011993326279919173,0.011716319604525635,0.011461415191909541,0.01131467183974043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,0.2709212427502572,0.19157029727853792,0.06135531214623918,0.06135531214623918,0.06135531214623918,0.06023554049287235,0.048743661824966554,0.021697392730231087,0.021697392730231087,0.0137874991598997,0.013070329002441792,0.013171000993348727,0.013148538226754668,0.013094985566186686,0.013104213597538565,0.012839817959612447,0.012720167476327855,0.012789531169493154,0.012624366174920377,0.012513754975570609,0.01251375497557061,0.01180753987768685,0.011516383444309523,0.011253509388451263,0.011113143766073561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,0.27385989307542963,0.19364823738643086,0.06180767332212364,0.06180767332212364,0.061807673322123655,0.06067964580297896,0.04910303967520881,0.021857363525680396,0.021857363525680396,0.013203654067791991,0.012854278760837907,0.012861484819731381,0.012910932565082436,0.012780702888462989,0.012430706805386731,0.012627032843336149,0.012390324676043696,0.01202705735794848,0.012110396203081464,0.012025819513400683,0.011681318815138376,0.011367835958647045,0.01110423405076476,0.010893653423336914,0.010302004293229132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,0.25096161222247154,0.1774567035456816,0.06646343561845078,0.06646343561845078,0.06646343561845078,0.06525043761408036,0.05280180503017423,0.02350380455039946,0.02350380455039946,0.014113078825935313,0.013736857347055723,0.01374620079516409,0.013797264177776759,0.013660139431736069,0.013286818779732942,0.01360506256477527,0.01324483676734381,0.012976311457856682,0.01294699931571685,0.012856865964999938,0.01248947212350187,0.012143397331982686,0.011862010225180727,0.011648849658927965,0.011017360863754386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,0.27457353634860276,0.19415285951426683,0.06174471144643218,0.06174471144643218,0.06174471144643218,0.060617833019699786,0.04905301968070115,0.021835097995669663,0.021835097995669663,0.013137514620662977,0.012807136717991071,0.012785524583289038,0.01273420089764018,0.012706285638439624,0.012384997350770727,0.01266159735673246,0.012303321899229629,0.012076884719448846,0.012067305537700287,0.011963967187274558,0.01162100843282433,0.011297514275930592,0.011034809675236582,0.010853019693839594,0.010263332519083184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,0.274116346832122,0.19382957762357514,0.061836409031360055,0.061836409031360055,0.061836409031360055,0.06070785706809609,0.049125868728542965,0.021867525481456908,0.021867525481456908,0.01315644388117982,0.01282558995168174,0.01280394667701603,0.01275254904135118,0.012724593560295188,0.012402842342622108,0.012679840889230454,0.01232104920855546,0.012094285765513278,0.01208469278154778,0.011981205535488967,0.011637752627022787,0.011313792361786002,0.01105070924171682,0.010868657327220876,0.010278120498441106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,0.2697582440830025,0.1907479328225107,0.06278018138327407,0.06278018138327407,0.06278018138327407,0.06163440500227124,0.04987564765969407,0.022201276523560725,0.022201276523560725,0.013310288015569143,0.012979895289998093,0.012953743793529057,0.01290597082597421,0.012873466873073948,0.012547969477006536,0.012828026923456116,0.01246477479572709,0.012235624603889902,0.01222593842517791,0.012121230021376357,0.011773768535637344,0.011446046748675208,0.011179907171091342,0.010995719360302433,0.010398302375093172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,0.27376971716310095,0.19358447337089335,0.06092589378481241,0.060925893784812425,0.06092589378481241,0.059813959276946785,0.048402510869024425,0.02154553531955992,0.02154553531955992,0.013626404360448733,0.013096303224256022,0.012996799872649012,0.013015993199191035,0.012934418433995096,0.012974267954573857,0.012673763662676033,0.012525174381036546,0.01262672866579544,0.012484460630619301,0.012394551722974658,0.012394551722974658,0.011644967804977828,0.011355414783989414,0.011157118641761329,,0.010659668264558417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,0.2662511777424912,0.1882680617920702,0.06305369667719372,0.06305369667719372,0.06305369667719372,0.06190292847621341,0.05009294159113065,0.0222980011353719,0.0222980011353719,0.013651561868335688,0.013348377641912152,0.013297892736732823,0.013270939855765659,0.013226471267269805,0.01289072585226699,0.012950203114224934,0.012775935703146009,0.01231755781969898,0.01254769356842721,0.012438393967681084,0.012078588415232893,0.011740023028748405,0.011465282104221026,0.01129026046920513,,0.010437890682900849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,0.19101004204298375,0.1180507858624317,0.067777050198979,0.067777050198979,0.067777050198979,0.06654007793192016,0.05384540472255291,0.02396834479072852,0.02396834479072852,0.014405912179780753,0.014048266004892524,0.014017625260916728,0.013968193594616459,0.013943535029118959,0.013591276117598432,0.013924659411124153,0.013738662682366069,0.013263699834361544,0.013504330158600765,0.013390970865344924,0.012766423454456752,0.012661504148792805,0.012111041139190527,0.011898963518124285,,,0.1180507858624317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,0.23108226244455127,0.16339987689008112,0.06956553059231246,0.06956553059231246,0.06956553059231246,0.06829591747351638,0.05526626104980042,0.02460081425632235,0.02460081425632235,0.015466872584327187,0.014878993388118286,0.014300010423326563,0.014790715127380784,0.014715122109547488,0.01434501927504151,0.014426305985584231,0.014228687086009013,0.013959164162797674,0.014222252538270674,0.014099730677776524,0.013688270780677076,0.013330920067330804,0.01301442326621486,0.012783427019209292,,0.011807547360856737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,0.23211896610159233,0.16413293726494504,0.0698589499665945,0.0698589499665945,0.06985894996659453,0.06858398176628429,0.055499367756499406,0.0247045776498372,0.0247045776498372,0.015107205670110526,0.01461214327050188,0.014226374886556821,0.014527503327386523,0.014613663007968843,0.0137064382701026,0.014604442127068564,0.01441440714496797,0.013904700082856122,0.014159598622910207,0.014041460210222134,0.013378791448520356,0.01330206525394135,0.012715120118047405,0.011838708117776995,,0.011526120352282733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,0.23117180842024673,0.16346319547303878,0.06957389165282175,0.06957389165282175,0.06957389165282175,0.06830412593960111,0.05527290348534034,0.02460377102089848,0.02460377102089848,0.015551452433054683,0.014828563709186391,0.013714315433070058,0.01474014708200166,0.014770990869526922,0.01387329870071634,0.014789435119018325,0.01396421939226813,0.014351320326335312,0.014584542361469858,0.01407982467518254,0.013803257088409475,0.013688381770103081,0.01307435871472843,0.012174389561262336,,0.011870252445177205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,0.2311517597313254,0.1634490189054957,0.06957719123470524,0.06957719123470524,0.06957719123470524,0.06830736530211431,0.05527552483462317,0.02460493786890996,0.02460493786890996,0.015552573129175469,0.014829632311228377,0.013715303738192767,0.014741209312409128,0.014772055322653665,0.013874298462770942,0.014790500901307013,0.013965225706409536,0.01435235453642515,0.014585593378416237,0.014080839320275196,0.013804251803002205,0.01368936820634855,0.013075300902164397,0.012175266893538088,,0.011871107860189111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,0.2302720109096549,0.1628269423876598,0.069303086942943,0.069303086942943,0.069303086942943,0.06803826357989733,0.055057762974483254,0.02450800496678028,0.02450800496678028,0.015664962266094325,0.014943076184561454,0.013772607024547488,0.014850444240439901,0.014864000634348045,0.014348560419018717,0.01486797291670167,0.014052962313594798,0.014812859326393923,0.014672786700703074,0.014547279068192595,0.01425586117889974,0.013715664441669289,0.013068798968727213,,,0.012226079909338739,,0.012215833792684204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,0.2297695240509215,0.16247163043083823,0.06940266137783298,0.06940266137783295,0.06940266137783295,0.06813602072096725,0.05513686977731589,0.024543217983292183,0.024543217983292183,0.015686489566956556,0.014963611446081269,0.013791533789262175,0.01487085220412799,0.014884427227673748,0.014368278677628809,0.014888404968867036,0.014072274351670059,0.01483321563967017,0.014692950521619324,0.014567270412436408,0.01427545204719775,0.013734512954033745,0.013086758537510644,,,0.01224288138616985,,0.012232621188968411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,0.22970309540271708,0.16242465827112443,0.06938681083654949,0.0693868108365495,0.06938681083654949,0.0681204594616742,0.05512427733182035,0.024537612675337845,0.024537612675337845,0.01570593000339981,0.015019986139215713,0.013840674206363856,0.01492639291632833,0.0149356082375539,0.014418823105750028,0.014903575274273523,0.01408192021908385,0.01487887823334717,0.01439030119977496,0.014579980721566807,0.01428695542396014,0.013778208480601272,0.013127695904228623,,,0.012243554381462778,,0.012273367225429078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,0.23007955690658538,0.16269085682195736,0.06949206970154154,0.06949206970154154,0.06949206970154154,0.06822379728854969,0.05520790012404121,0.024574835905929952,0.024574835905929952,0.015605239997960195,0.015046575325246447,0.013755201224439286,0.014952963296145889,0.014841881303100926,0.014328920551304794,0.01480663200234486,0.013981036685121484,0.014782065665015836,0.014297443502215233,0.014485011658684727,0.014194386434505326,0.013689219235712827,0.013044024250314097,,,0.012165934627421954,,0.012195472182848084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,0.2309246700204966,0.1632884421896548,0.06930311299466684,0.06930311299466685,0.06930311299466684,0.06803828915616139,0.05505778367124726,0.02450801417958458,0.02450801417958458,0.015612925277237625,0.015060707652724605,0.01376342323752272,0.014966594462858173,0.014850721950409266,0.014336962661355836,0.014777389204043137,0.013950784233440445,0.014493837120069708,0.014266470425532602,0.014454522911461858,0.014196897497014617,0.013656578133680495,0.013045913018974188,,,0.012172146015480468,,0.012159573817464554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,0.23100923956051012,0.16334824190028893,0.06945744554376489,0.06945744554376489,0.06945744554376489,0.0681894812451166,0.05518049796971256,0.024562216043210267,0.024562216043210267,0.015524578106577468,0.015192420378677015,0.013661142041116327,0.015090412062652589,0.014770867564642305,0.014229785293819441,0.014683689804683306,0.013854805268563726,0.014402207761945509,0.014176851164898403,0.01436227082739806,0.014107031504620076,0.013570659665091562,0.012965614187076297,,,0.012097989145968503,,0.012085445828925925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,0.2313125994046189,0.16356274975847065,0.06939850536389405,0.06939850536389405,0.06939850536389405,0.06813161703403856,0.05513367291805344,0.0245413730447343,0.0245413730447343,0.015511132710950755,0.015179262655412886,0.013649310514475502,0.015077342685890163,0.014758074936282745,0.01421746128142792,0.01467097267850258,0.013842806015708796,0.014389734419357507,0.014164572997250654,0.014349832073053388,0.014094813805794637,0.013558906502663564,0.012954385037331175,,,0.01208751142159889,,0.012074978967966507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,0.23135730266241566,0.16359435974334488,0.06939066653994846,0.06939066653994846,0.06939066653994846,0.06812392130992666,0.05512744536094377,0.024538601003727473,0.024538601003727473,0.015508830750245124,0.015177009946547304,0.013647284861220592,0.01507510510266172,0.014755884734623904,0.014215351310620917,0.014668795403428692,0.013840751646366618,0.014387598882010553,0.01416247087543536,0.014347702457494027,0.014092722036731814,0.013556894265997035,0.012952462515883053,,,0.012085717550265324,,0.012073186956536815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,0.23165346712938312,0.1638037797002458,0.06933291351454618,0.06933291351454618,0.06933291351454618,0.06806722258149392,0.05508156344467106,0.024518177818337133,0.024518177818337133,0.015495784117575831,0.015164242454466214,0.013635804233481154,0.01506242333690563,0.014743471509478608,0.01420339280325171,0.014656455441221903,0.013829108266829824,0.014375495473273325,0.01415055685314851,0.014335632611183511,0.01408086668988558,0.013545489678348021,0.0129415663997716,,,0.012075550573788344,,0.012063030521283493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,0.2318147906377532,0.16391785267637252,0.06917984909321896,0.06917984909321896,0.06917984909321896,0.06791695239223378,0.054959961348248446,0.024464049692032818,0.024464049692032818,0.01553907740440863,0.015208577376702377,0.013677478534931491,0.015106284248912038,0.0147848547819593,0.01424313274483783,0.014700522587118943,0.013866627118555266,0.014332842586286787,0.014189100412898387,0.014374494193152874,0.014118606869434561,0.013589700623773208,0.012983325899646186,,,0.012105362062900766,,0.01210280883615094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,0.23271550027613394,0.16455475073366255,0.06978721021305061,0.06978721021305061,0.06978721021305061,0.06851322597191327,0.05544247965535543,0.024678830626240246,0.024678830626240246,0.01523812000719233,0.01522466726402227,0.013406080163924163,0.015119227974634998,0.014495675371684322,0.014018536001254526,0.014391815504430763,0.013565409589721229,0.01412755043536949,0.01389625301814182,0.013578558191531757,0.013326651111255128,0.013298384789042524,0.012688934792525874,0.011778018165185446,,,,0.011900869091385938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,0.23266018349074583,0.16451563584952236,0.06977604073057532,0.06977604073057532,0.06977604073057529,0.0685022603913365,0.05543360605512113,0.024674880765436967,0.024674880765436967,0.015250147194392886,0.015221441331486507,0.013416227130387969,0.015123050608795775,0.0145068444210833,0.014029186513820853,0.01440391518714598,0.013577109108338842,0.01413939579113091,0.013907883198426023,0.013589982092841221,0.013337813423818418,0.013309517955921491,0.012699457380517263,0.011787777263372321,,,,0.011910681889194401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,0.23273011505947166,0.16456508494872907,0.06977519737778848,0.06977519737778848,0.06977519737778848,0.068501432434181,0.055432936053131036,0.02467458253083895,0.02467458253083895,0.015242099650246633,0.015214184612746423,0.01340916846186898,0.015115840016306817,0.01449920154126802,0.01402180007062702,0.014396298490973599,0.013569878065394163,0.014131923122697607,0.013900533534095975,0.01358279669875497,0.013330764279400534,0.013302484045793546,0.012692751200942643,0.011781554430023293,,,,0.01190439608830361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,0.07750470820595581,,0.015074113798063723,0.015074113798063723,0.015074113798063723,0.01479893180742079,0.011975636295250143,,,,,,,,,,,,,,,,,,,,0.0793021978041043,,0.09566143996974712,0.084670379149925,0.08466483989903029,0.08185582716831075,0.07793486795859876,0.077887684833291,0.05410553644800273,0.04557891045183482,0.03682823343888515,0.023398272254573645,0.02192962699202418,0.01305615880586971,0.012516926828685496,0.012414001554508086,0.012393345193289726,0.01223201693241547,0.012214550025881057,0.011853566588204795,,,,,,,,,,,,,,,,
854,0.23150722772516114,0.16370037279919863,0.06986161883133626,0.06986161883133626,0.06986161883133626,0.06858627624091385,0.055501593614673925,0.02470514372404424,0.02470514372404424,0.015382192081133656,0.015417431287926777,0.013598212269721648,0.015316521398755445,0.014696537315799401,0.014259448696373321,0.014525309022979141,0.013678633956249206,0.014154599743212076,0.014077965538855935,0.01335776681667646,0.013100946093763574,0.01342279178898831,0.012802814365426077,0.011852079944362562,,,,0.01206613535773152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,0.23158229884522194,0.163753456110943,0.07002747841768926,0.07002747841768929,0.07002747841768926,0.06874910801603022,0.055633360835543606,0.024763796600794117,0.024763796600794117,0.015288996748588432,0.015311403445448655,0.013511956154291542,0.015211568933433298,0.014607701050034413,0.014173736130227117,0.014447337918144574,0.013732045397781827,0.014072238236286451,0.014003661489721157,0.013289962705107024,0.013027959270733873,0.013354417351840215,0.012730895793548743,0.011773141395561586,,,,0.012134725716856176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,0.23293274090715532,0.16470836309658865,0.07001565861482774,0.07001565861482774,0.07001565861482774,0.06873750398684031,0.05562397058799424,0.024759616767383894,0.024759616767383894,0.01504009776064278,0.015319468942155927,0.013604447331832725,0.015220493629721986,0.014194768216316886,0.014159473922109684,0.014463435946962843,0.013742421509616402,0.01382808111049558,0.013762974583046447,0.013062243881483186,0.01280492401513848,0.013157651284867107,0.012546276506429572,0.01155989034252026,,,,0.011964563058830667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,0.19967818871350343,0.1411938376760954,0.059772565579957186,0.059772565579957186,0.059772565579957186,0.05868140136277841,0.04748634084953648,0.021137354789513358,0.021137354789513358,0.013106729270033096,0.013391324153378924,0.011871268476518128,0.013303259106977541,0.012372926621204929,0.012351597836700957,0.012364490800193827,,0.012116964563358784,0.011751546911747344,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039688207753381485,0.03525610418260446,0.03525610418260445,0.03525610418260445,0.024427065679293227,0.024427065679293227,0.024427065679293227,,,,,,,,,
858,0.19921530061910017,0.14086652628127327,0.0596436209668881,0.0596436209668881,0.0596436209668881,0.05855481066820712,0.047383900745326474,0.021091756143910772,0.021091756143910772,0.013419550090118483,0.013524174976260928,0.011916369669566664,0.013432909426160839,0.012410219871526296,0.011870217522173281,0.012428509171123958,,0.012417923071537164,0.012037582440834148,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039809758089732014,0.035364080621057746,0.035364080621057746,0.035364080621057746,0.024501876768466723,0.024501876768466723,0.024501876768466723,,,,,,,,,
859,0.20538062449658903,0.14522606972659025,0.0520182608792451,0.0520182608792451,0.0520182608792451,0.044586349235289174,0.03561941881337423,0.02369941757867897,0.015586195033758262,0.013896415554525839,0.014006004806388327,0.01230429441072736,0.01391144833073267,0.012849975777738224,,0.012870023038474511,,0.012858300211298824,0.01246509165347295,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04082936059560173,0.03626982099601143,0.036269820996011434,0.03626982099601143,0.02512941574761172,0.02512941574761172,0.02512941574761172,0.04365851786815485,,,,,,,,
860,0.2051138122638739,0.14503740493892017,0.05193811466953915,0.05193811466953915,0.05193811466953915,0.04451765361118653,0.03556453882773903,0.023662903122811652,0.015562180881139951,0.013874615709786488,0.013984033044749513,0.012284992188026214,0.013889624903495653,0.012829817523563974,,0.012849833335386704,,0.01283812889826357,0.012445537181915788,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0410311707153057,0.03644909436228686,0.03644909436228685,0.03644909436228686,0.025253624658212754,0.025253624658212754,0.025253624658212754,0.04359125178371895,,,,,,,,
861,0.23967108695933428,0.16947309451180492,0.06107026129739016,0.06107026129739016,0.06107026129739016,0.0523450794407896,0.04181776125202722,0.027823491206015315,0.01829843957208274,0.01587210793735603,0.015929252314409066,0.01403213918068594,0.015823897843305186,0.014670666065760988,0.014015962544248365,0.014993749659445181,0.013578115889676085,0.01470456320553495,0.014535988038142798,0.013791807834142989,0.013517301556611823,0.013883423379576692,0.013229907177280764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05125579073576453,0.013525589803834094,,,,,,,
862,0.23859364529988697,0.168711228011765,0.060274580658305744,0.060274580658305744,0.060274580658305744,0.051663078653867274,0.04127292023954061,0.027460980668250378,0.018060030340098916,0.01552135007291288,0.015419167510213766,0.013725582564148868,0.015323356125754629,0.014316947041879748,,0.014358873386740145,,,0.013920932995611862,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01406814380522721,,,,,,,0.05058798222368352,,0.0170707330214382,0.01606387896359873,0.01564852248108577,0.015066736346561053,0.014474348102282967,0.014235393390089852,0.013612426780444163
863,0.24317091469874583,0.1719478470770026,0.05911503259846723,0.05911503259846723,0.05911503259846723,0.050669196623265016,0.040478921607531304,0.026932692847624205,0.01771259576796638,0.015256845413850986,0.015160162039681813,,0.015065368788267667,0.014069787550654755,,0.014137707508116694,,,0.01367991311341245,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014179176209503968,,,0.01356899158731943,,,,0.04961478264273322,,0.01720546327131187,0.016190662647930735,0.015772027976800728,0.01518565011260751,0.014588586461826751,0.014347745806713563,0.013719862451730982
864,0.24050453666291494,0.17006243260084078,0.05844647182939981,0.05844647182939981,0.05844647182939981,0.05009615393727728,0.04002112571752865,0.026628097873185656,0.017512275373503486,0.016084757984277828,0.01580105185050279,0.014154183539358158,0.015743037705909898,0.014779909684711925,,0.01499605348504896,,0.014440890080923195,0.01449118869279329,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014035957428206647,,,,,,,0.04905366483931348,,0.017611996652853644,0.017225289311611252,0.01605501334760716,0.015397126744504214,0.015485437959321455,0.014480403039605903,
