threshold,PDB1,KGD2,PDX1,AIM22,LPD1,IRC15,PYC1,PYC2,MAE1,PTC6,PTC5,PKP1,UTH1,PKP2,HUL4,SIP5,NCE103,LSC1,YMR31,LIP2,KGD1,MDH1
824,0.14398093001161782,0.11394669941095775,0.11394669941095774,0.10207061431237356,0.10207061431237356,0.08563631435485085,0.07219011860199087,0.07219011860199087,0.07219011860199087,0.039077018988639335,0.038204421308359396,0.038204421308359396,0.006291910775538004,,,,,,,,,
825,0.14398093001161782,0.11394669941095775,0.11394669941095774,0.10207061431237356,0.10207061431237356,0.08563631435485085,0.07219011860199087,0.07219011860199087,0.07219011860199087,0.039077018988639335,0.038204421308359396,0.038204421308359396,0.006291910775538004,,,,,,,,,
826,0.1466557233825497,0.11605343852091675,0.11605343852091672,0.10393382646874322,0.10393382646874322,0.08714417946861536,0.07334651926257481,0.07334651926257481,0.07334651926257481,0.03268844137600886,0.03638157440712523,0.031835375606273385,0.005280617992383119,,,,,,,,,
827,0.1466557233825497,0.11605343852091675,0.11605343852091672,0.10393382646874322,0.10393382646874322,0.08714417946861536,0.07334651926257481,0.07334651926257481,0.07334651926257481,0.03268844137600886,0.03638157440712523,0.031835375606273385,0.005280617992383119,,,,,,,,,
828,0.1466557233825497,0.11605343852091675,0.11605343852091672,0.10393382646874322,0.10393382646874322,0.08714417946861536,0.07334651926257481,0.07334651926257481,0.07334651926257481,0.03268844137600886,0.03638157440712523,0.031835375606273385,0.005280617992383119,,,,,,,,,
829,0.1417646775841706,0.11219994690304631,0.11219994690304631,0.10052254782739505,0.10052254782739505,0.08437584553380384,0.0712068385340957,0.0712068385340957,0.0712068385340957,0.032131019405164704,0.03574885347913751,0.03130195750420515,0.005161211134621966,0.02623656915110998,0.004214361144616405,,,,,,,
830,0.14895220503553974,0.14082194187496552,0.14082194187496552,0.12552766665611984,0.12552766665611984,0.10384744077314799,,,0.05520396193966979,0.03793016720814569,0.042384936172863354,0.03679862019630425,0.006551194327994746,0.030384410560589502,0.005247846723574314,,,,,,,
831,0.14895220503553974,0.14082194187496552,0.14082194187496552,0.12552766665611984,0.12552766665611984,0.10384744077314799,,,0.05520396193966979,0.03793016720814569,0.042384936172863354,0.03679862019630425,0.006551194327994746,0.030384410560589502,0.005247846723574314,,,,,,,
832,0.14684892570196756,0.1287210553543765,0.1287210553543765,0.11498081421912118,0.11498081421912118,0.09570619396851601,,0.06313367860537054,0.06313367860537054,0.035588414146100686,0.03969766368924369,0.03458828285636844,0.005965915015903291,0.027933508264163825,,,,,,,,
833,0.14684892570196756,0.1287210553543765,0.1287210553543765,0.11498081421912118,0.11498081421912118,0.09570619396851601,,0.06313367860537054,0.06313367860537054,0.035588414146100686,0.03969766368924369,0.03458828285636844,0.005965915015903291,0.027933508264163825,,,,,,,,
834,0.1498911475549484,0.1417104435219305,0.1417104435219305,0.12631800631200193,0.12631800631200193,0.10449716506233696,,,0.05553754478610524,0.03814686256575845,0.042627555003342726,0.037008430531536934,0.0065898482518260615,0.02964454657628032,,,,,,,,
835,0.1498911475549484,0.1417104435219305,0.1417104435219305,0.12631800631200193,0.12631800631200193,0.10449716506233696,,,0.05553754478610524,0.03814686256575845,0.042627555003342726,0.037008430531536934,0.0065898482518260615,0.02964454657628032,,,,,,,,
836,0.1498911475549484,0.1417104435219305,0.1417104435219305,0.12631800631200193,0.12631800631200193,0.10449716506233696,,,0.05553754478610524,0.03814686256575845,0.042627555003342726,0.037008430531536934,0.0065898482518260615,0.02964454657628032,,,,,,,,
837,0.1511268690941178,0.14287997649460074,0.14287997649460074,0.12735789532663966,0.12735789532663966,0.10535097963146338,,,0.05597285149726033,0.03724250647359155,0.04272979908481393,0.03724250647359155,,0.029858744102680728,,,,,,,,
838,0.1511268690941178,0.14287997649460074,0.14287997649460074,0.12735789532663966,0.12735789532663966,0.10535097963146338,,,0.05597285149726033,0.03724250647359155,0.04272979908481393,0.03724250647359155,,0.029858744102680728,,,,,,,,
839,0.13902046992660744,0.10930429937908599,0.10930429937908602,0.09794505182478361,0.09794505182478361,0.08225097481379613,0.07433492208730494,0.07041704964153853,0.07041704964153853,0.03051080147442826,0.034724513133547484,0.03051080147442826,,0.02494671507136072,,0.014184000163855279,0.014184000163855279,,,,,
840,0.15112686868229605,0.14287997610525188,0.14287997610525188,0.12735789497958855,0.12735789497958855,0.10535097934438127,,,0.055972851344733954,0.03724250637210547,0.04272979896837498,0.03724250637210547,,0.02985874402131546,,1.362503271810721e-09,1.362503271810721e-09,,,,,
841,0.13905306081982557,0.13065304708013778,0.13065304708013775,0.10400548150159308,0.11920734339160978,0.08560780491945078,,,0.06282755830250633,0.028870570143558517,0.032730606530659116,0.028870570143558517,,0.023819003141669053,,1.074691059342748e-09,1.074691059342748e-09,0.11370190479591144,,,,
842,0.1390530611187038,0.13065304736096112,0.1306530473609611,0.10400548172514061,0.11920734364783192,0.08560780510345468,,,0.06282755843754677,0.028870570205612407,0.032730606601009696,0.028870570205612407,,0.023819003192865198,,,,0.1137019050403003,,,,
843,0.1390530611187038,0.13065304736096112,0.1306530473609611,0.10400548172514061,0.11920734364783192,0.08560780510345468,,,0.06282755843754677,0.028870570205612407,0.032730606601009696,0.028870570205612407,,0.023819003192865198,,,,0.1137019050403003,,,,
844,0.13076252189231696,0.12039321568116873,0.11592107796597735,0.09274423576532871,0.11049275448737367,0.07625918471052133,,0.05052034875624612,0.06379672976309972,0.025850425517179025,0.029206542817991815,0.025850425517179025,,0.02149282253512798,,,,0.10226250444811938,0.03444721014237022,,,
845,0.13076252189231696,0.12039321568116873,0.11592107796597735,0.09274423576532871,0.11049275448737367,0.07625918471052133,,0.05052034875624612,0.06379672976309972,0.025850425517179025,0.029206542817991815,0.025850425517179025,,0.02149282253512798,,,,0.10226250444811938,0.03444721014237022,,,
846,0.1254981009956114,0.10611599743338686,0.10240207831582035,0.08219117693782736,0.09751896073195905,0.06810207983680751,0.05878479863536943,0.056278293875985534,0.0678921585525507,0.023701439384992203,0.02669346964949181,0.023701439384992203,,0.01984484393452165,,0.009927433102231044,0.009927433102231044,0.09200004179367506,0.02942025433254668,,,
847,0.1254981009956114,0.10611599743338686,0.10240207831582035,0.08219117693782736,0.09751896073195905,0.06810207983680751,0.05878479863536943,0.056278293875985534,0.0678921585525507,0.023701439384992203,0.02669346964949181,0.023701439384992203,,0.01984484393452165,,0.009927433102231044,0.009927433102231044,0.09200004179367506,0.02942025433254668,,,
848,0.1405760618522165,0.12949746802144416,0.12371604882545013,0.1107305063406401,0.11651192553663416,0.09144776826611505,,0.05936607985335187,0.05936607985335187,0.03239909750582498,0.036999825427286866,0.03239909750582498,,0.02627545430742378,,,,,0.04071458670443561,,,
849,0.13352192446003402,0.1102566567891543,0.10570260820303241,0.09487271251855302,0.09942676110467487,0.07910047511268857,0.07014370355077423,0.0665222557318702,0.0665222557318702,0.0288679882664277,0.032820411135732495,0.0288679882664277,,0.023661593991783962,,0.013225112978342935,0.013225112978342935,,0.033262439180290565,,,
850,0.13352192446003402,0.1102566567891543,0.10570260820303241,0.09487271251855302,0.09942676110467487,0.07910047511268857,0.07014370355077423,0.0665222557318702,0.0665222557318702,0.0288679882664277,0.032820411135732495,0.0288679882664277,,0.023661593991783962,,0.013225112978342935,0.013225112978342935,,0.033262439180290565,,,
851,0.13352192446003402,0.1102566567891543,0.10570260820303241,0.09487271251855302,0.09942676110467487,0.07910047511268857,0.07014370355077423,0.0665222557318702,0.0665222557318702,0.0288679882664277,0.032820411135732495,0.0288679882664277,,0.023661593991783962,,0.013225112978342935,0.013225112978342935,,0.033262439180290565,,,
852,0.13352192446003402,0.1102566567891543,0.10570260820303241,0.09487271251855302,0.09942676110467487,0.07910047511268857,0.07014370355077423,0.0665222557318702,0.0665222557318702,0.0288679882664277,0.032820411135732495,0.0288679882664277,,0.023661593991783962,,0.013225112978342935,0.013225112978342935,,0.033262439180290565,,,
853,0.1467385053927672,0.13532024411270288,0.12918831408594966,0.1155667410258929,0.12169867105264609,0.09526141815933455,,0.0613676042853099,0.0613676042853099,,0.03198120955880114,0.03198120955880114,,0.026645081379032008,,,,,0.04288339710345271,,,
854,0.13132526127023242,0.10858077182893752,0.10411283032287304,0.09556651877786293,0.09796721108888895,0.07766484558115477,0.06873026735672608,0.06519737392249675,0.06519737392249675,0.02830230421040006,0.03217008185806758,0.02830230421040006,,0.023210045647942497,,0.012925588466982588,0.012925588466982588,,0.03269442643744106,0.015127206630114458,,
855,0.12422027526287038,0.10908783181070186,0.09280870566515949,0.08302083945533908,0.1005432933846052,0.0672652228762198,0.05637922922456214,0.053939952427018614,0.053939952427018614,0.023697878509448635,0.02670818214232081,0.023697878509448635,,0.01981149331559567,,0.009601075302602192,0.009601075302602192,,0.04513382099988153,,0.1005432933846052,
856,0.12422027526287038,0.10908783181070186,0.09280870566515949,0.08302083945533908,0.1005432933846052,0.0672652228762198,0.05637922922456214,0.053939952427018614,0.053939952427018614,0.023697878509448635,0.02670818214232081,0.023697878509448635,,0.01981149331559567,,0.009601075302602192,0.009601075302602192,,0.04513382099988153,,0.1005432933846052,
857,0.1356877721628311,0.11021462645464612,0.09409368844357403,0.08102608351004792,0.09897730033805764,0.08023067917825079,0.07469397897707974,0.07062276442814513,0.07062276442814513,0.030521104753575896,0.03479599744810552,0.030521104753575896,,0.0248536456425173,,0.014533167321183203,0.014533167321183203,,0.03407215483908148,,,
858,0.1356877721628311,0.11021462645464612,0.09409368844357403,0.08102608351004792,0.09897730033805764,0.08023067917825079,0.07469397897707974,0.07062276442814513,0.07062276442814513,0.030521104753575896,0.03479599744810552,0.030521104753575896,,0.0248536456425173,,0.014533167321183203,0.014533167321183203,,0.03407215483908148,,,
859,0.1356877721628311,0.11021462645464612,0.09409368844357403,0.08102608351004792,0.09897730033805764,0.08023067917825079,0.07469397897707974,0.07062276442814513,0.07062276442814513,0.030521104753575896,0.03479599744810552,0.030521104753575896,,0.0248536456425173,,0.014533167321183203,0.014533167321183203,,0.03407215483908148,,,
860,0.1356877721628311,0.11021462645464612,0.09409368844357403,0.08102608351004792,0.09897730033805764,0.08023067917825079,0.07469397897707974,0.07062276442814513,0.07062276442814513,0.030521104753575896,0.03479599744810552,0.030521104753575896,,0.0248536456425173,,0.014533167321183203,0.014533167321183203,,0.03407215483908148,,,
861,0.12546853758960802,0.10000328539511419,0.07543701461531167,0.06616224590669308,0.09190621656543603,0.06376682587351726,0.0784122103525262,0.07502275863796992,0.07502275863796992,0.023921270152641012,0.026958791006764318,0.023921270152641012,,0.020000136018416055,,0.013346252744227464,0.013346252744227464,,0.027912879746158987,,,0.09939129386077757
862,0.12546853758960802,0.10000328539511419,0.07543701461531167,0.06616224590669308,0.09190621656543603,0.06376682587351726,0.0784122103525262,0.07502275863796992,0.07502275863796992,0.023921270152641012,0.026958791006764318,0.023921270152641012,,0.020000136018416055,,0.013346252744227464,0.013346252744227464,,0.027912879746158987,,,0.09939129386077757
863,0.12546853758960802,0.10000328539511419,0.07543701461531167,0.06616224590669308,0.09190621656543603,0.06376682587351726,0.0784122103525262,0.07502275863796992,0.07502275863796992,0.023921270152641012,0.026958791006764318,0.023921270152641012,,0.020000136018416055,,0.013346252744227464,0.013346252744227464,,0.027912879746158987,,,0.09939129386077757
864,0.14683607989845976,0.11930680936456263,0.10158718521182886,0.08728656269238204,0.10703734744827899,0.0863843251393469,0.08010656191179995,0.07559185629689795,0.07559185629689795,,,0.02550785326116573,,0.02550785326116573,,0.015892650154291657,0.015892650154291657,,0.03747040890863037,,,
