threshold,PDA1,PDX1,KGD2,AIM22,LPD1,IRC15,PYC1,MAE1,PYC2,PTC6,PKP1,PTC5,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO2,ENO1,CDC19,PKP2,PYK2,LSC1,YMR31,KGD1,HSP104,SIS1,BTN2,HSP78,YJL144W,HSP26,CUR1,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,MBF1
824,0.11288651476733622,0.08039563008019303,0.08039563008019303,0.0720164023419401,0.0720164023419401,0.060421104655898755,0.05093407795551117,0.05093407795551117,0.05093407795551117,0.027570974670506444,0.026955309270145802,0.026955309270145802,0.023465453311457746,0.022883454465230716,0.02287049448267693,0.02279823075734357,0.02271938285088442,0.02266496118031917,0.022241349908382703,0.02206772560289418,0.021753822689575094,0.02144059627575229,0.021288939126907366,0.021288939126907366,0.02010113887683561,,,,,,,,,,,,,,,,,,,,,
825,0.11341805332576757,0.08077418173806891,0.08077418173806891,0.07235549948532469,0.07235549948532469,0.06070560406607026,0.051173906658056385,0.051173906658056385,0.051173906658056385,0.02770079563416284,0.02708223130561704,0.02708223130561704,0.02316170901624328,0.02277698912968679,0.022578325937493603,0.022692258641159133,0.02242932096520891,0.022375135841920066,0.021952137723623154,0.02176724396721629,0.021470694724130858,0.02116201709627542,0.02101177047517671,0.02101177047517671,0.019840627948497905,,,,,,,,,,,,,,,,,,,,,
826,0.11454104135041769,0.08272412379651775,0.08272412379651775,0.0740851355808513,0.0740851355808513,0.06211729684518055,0.05228217807977605,0.05228217807977605,0.05228217807977605,0.023300668257380374,0.022692593914719252,0.025933172713575488,0.022995106630013685,0.022617455547294142,0.02245274630174157,0.02253675885453511,0.02231021520352729,0.02165427413264068,0.02184138690901963,0.02161852444621128,0.02077830423152571,0.02109428081013853,0.020913715377062332,0.02031472437316418,0.019822681107786254,,,,,,,,,,,,,,,,,,,,,
827,0.11927695158546607,0.08614450499747764,0.08614450499747764,0.07714832190887591,0.07714832190887591,0.06468565084680546,0.05444388098870225,0.05444388098870226,0.05444388098870225,0.024264077285119173,0.023630860989240873,0.027005427484734442,0.020717657351702144,0.019640008286214376,0.019791282116829696,0.019757528649571438,0.019677058242353107,0.01969092465781843,0.01929363301208115,0.0191138413264457,0.019218070034711147,0.018969886392096184,0.018803677502375687,0.018803677502375687,0.017742489955245425,,,,,,,,,,,,,,,,,,,,,
828,0.11565454442470681,0.08352832083435932,0.08352832083435932,0.0748053492724313,0.0748053492724313,0.06272116599276435,0.05279043577794259,0.05279043577794259,0.05279043577794259,0.023527184145761458,0.022913198449039232,0.02618528031799559,0.022429702565229283,0.02183620138908659,0.021848442679021803,0.021932442018526677,0.02171121440253926,0.021116658683183874,0.021450167469040136,0.021048059555589017,0.020430959330552084,0.020572531163535978,0.020428856542574866,0.019843636106181724,0.0193111072172622,,,,,,,,,,,,,,,,,,,,,
829,0.11643106980329794,0.08209754396984544,0.08209754396984544,0.0735531033481834,0.0735531033481834,0.06173843998954934,0.052102578645230074,0.052102578645230074,0.052102578645230074,0.023510508259784624,0.02290387743912509,0.026157704628070273,0.023029337433636547,0.02241542947678605,0.02243067586079164,0.022513999697014325,0.02229024327320199,0.02168106880659829,0.022200370342591213,0.02161256370283059,0.021174391420373945,0.021126560665613293,0.020979483520131077,0.020379980261398433,0.019815264847457388,,,,,,,,,,,,,,,,,,,,,
830,0.12004638392359629,0.0990485603678326,0.0990485603678326,0.0882911746783132,0.0882911746783132,0.0730421649461194,,0.038828274087995385,,0.02667857300117154,0.025882687778888986,0.029811880544383492,0.02217833331716793,0.02162059987536761,0.021584114958626714,0.02149747194887542,0.021450346298319614,0.020907957654761753,0.021374904965945057,0.02077007576154128,0.020387811734167417,0.020371640464954047,0.020197187956518137,0.019618215921862928,0.019072103400209758,0.021371187498065432,0.01862861386917004,,,,,,,,,,,,,,,,,,,
831,0.12018996935301603,0.09916703065913995,0.09916703065913993,0.08839677824433337,0.08839677824433337,0.07312952943205185,,0.03887471592344542,,0.026710482786668422,0.025913645619665214,0.02984753802551594,0.022113280029163882,0.021557182526083577,0.02152080462657263,0.021434415757319015,0.02138742833529797,0.020846630621235804,0.021312208286761666,0.0207091531619456,0.02032801038798202,0.0203118865521902,0.0201379457462845,0.019560671947199033,0.01901616127788732,0.021396749210412156,0.018573972586355104,,,,,,,,,,,,,,,,,,,
832,0.11781340074987694,0.09100834972028404,0.09100834972028404,0.08129372558955643,0.08129372558955644,0.06766618520260527,,0.044636768132667606,0.044636768132667606,0.025161717573569553,0.024454604833299,0.028067038839625823,0.023173785635559812,0.02259855764733175,0.02255302676381416,0.022469851966394623,0.022413261182187866,0.02184655617380817,0.02233414826964213,0.02170171064471568,0.02130275027528033,0.021285886220284916,0.021103584372188126,0.020498638936168215,0.01992806116728149,0.019749546661349926,,,,,,,,,,,,,,,,,,,,
833,0.11630098857550883,0.08984004343924958,0.08984004343924958,0.08025012936451906,0.08025012936451906,0.06679753051950399,,0.044063750198217025,0.044063750198217025,0.024838707731360925,0.02414067244671282,0.027706732363712835,0.02404711233225145,0.023111619649641785,0.02293602172885246,0.022969893032475697,0.0228259344730308,0.022896258666588808,0.0223659455867447,0.022103723576268886,0.022282940868580195,0.022031874238479347,0.02187320805299051,0.02187320805299051,0.020550384496481493,,0.020039397603852552,,,,,,,,,,,,,,,,,,,
834,0.11863531579673328,0.09796694828432168,0.09796694828432168,0.08732588286502266,0.08732588286502266,0.07224074747840241,,0.038394091802108905,,0.026371604091482797,0.025584585792407796,0.02946918641076217,0.022872163895321155,0.022364201554885985,0.022279617897965405,0.022234460375560445,0.022159956604191254,0.021597440444274155,0.02169709011781828,0.021405118193561348,0.020637140567462138,0.02102271568434994,0.02083959243397981,0.020236765325593792,0.019669524515813833,0.020493801932820705,0.019209216785815726,,,,,,,,,,,,,,,,,,,
835,0.1182988142753483,0.09768907127171608,0.09768907127171608,0.0870781885571092,0.0870781885571092,0.07203584119675083,,0.03828518940473392,,0.026296802715193204,0.02551201674342494,0.029385598939404237,0.02284233578158895,0.02227524402677013,0.022226659379456008,0.022148279426435123,0.02210918025479247,0.02155063066497182,0.022079250653741066,0.021784330090603633,0.021031218401284416,0.02141276721241902,0.02123302218772368,0.02024272587791745,0.02007636348586353,0.020435672568195656,0.019203537055731097,,,,,,,,,,,,,,,,,,,
836,0.11779020696436428,0.09726907233802948,0.09726907233802948,0.0867038094595782,0.0867038094595782,0.07172613432682164,,0.038120588200969245,,0.02618374371119236,0.02540233180437347,0.02925926013753393,0.023512367847963195,0.022618688027684915,0.021738532044523733,0.022484489538098746,0.022369574849796785,0.02180695341879746,0.02193052352186846,0.021630108021890092,0.02122038575389748,0.02162032637711775,0.02143407159046654,0.0208085801472196,0.020265344184220612,0.020347812579600437,0.019784213356383938,,,,,,,,,,,,,,,,,,,
837,0.11788746936154608,0.09747737900941554,0.09747737900941554,0.08688770909103177,0.08688770909103177,0.07187387360003827,,0.0381865044598629,,0.02540805232372138,0.02540805232372138,0.029151662273292613,0.023197733444153046,0.022437544840441522,0.021845181676971484,0.02230757673899421,0.022439878459605354,0.021046797693875047,0.02242571941908416,0.022133912915876502,0.021351236832709987,0.021742643987454523,0.021561237613112544,0.020543682571405597,0.02042586635516453,0.020370608863811986,0.01952458804426229,,,,,,,,,,,,,,,,,,,
838,0.11786232025931156,0.09745658402091052,0.09745658402091052,0.08686917321193718,0.08686917321193718,0.0718585406439154,,0.03817835807831921,,0.025402631987625185,0.025402631987625185,0.029145443307538342,0.023592665895968094,0.022495991986209222,0.020805597637724087,0.02236185763742107,0.02240864986966962,0.021046786628448555,0.022436631115654557,0.021184719822022965,0.021771979632306176,0.022125794144371415,0.021360101306636663,0.02094052849178355,0.020766254415702064,0.020366263172724792,0.019834737513326785,,,,,,,,,,,,,,,,,,,
839,0.11312993790027782,0.0794250262151898,0.0794250262151898,0.07117092697197262,0.07117092697197262,0.05976696129905974,0.05401482987427621,0.05116794165962738,0.05116794165962738,0.022170410685753757,0.022170410685753757,0.0252322679126876,0.024982574317349553,0.023821292350603627,0.022031312251581635,0.023679255780769348,0.023728804671292306,0.02228671034486495,0.023758434368944682,0.022432769559813222,0.023054626450369216,0.02342928514223571,0.02261848324696368,0.022174192250989423,0.021989651212834124,,,,,,,,,,,,,,,,,,,,,
840,0.11785594430858878,0.09745131195112641,0.09745131195112641,0.08686447388507418,0.08686447388507418,0.07185465334122912,,0.038176292758976715,,0.025401257791618986,0.025401257791618986,0.029143866638167554,0.023459777192398848,0.02237868383619522,0.02062579447469739,0.022239958652369284,0.022260260647051118,0.021488339693637743,0.0222662095192781,0.02104565329746621,0.022183671653758216,0.021973899518106545,0.02178593985088064,0.02134951372762806,0.020540517518111694,0.020365161427144778,0.0195717746886749,,,,,,,,,,,,,,,,,,,
841,0.10892779480904805,0.09221402395590426,0.09221402395590426,0.07340635505309447,0.0841357248445278,0.06042140118486924,,0.04434325946370558,,0.020376650268292478,0.020376650268292478,0.023101037458837143,0.02323251212675027,0.022161891792116913,0.020425983432294775,0.022024510499486137,0.022044615819915007,0.021280172800529486,0.022050507062829214,0.020841774900027057,0.021968768777513022,0.021761028795781186,0.021574889975606013,0.021142691702035817,0.020341532590679303,,0.019382174394392385,0.08025002406756777,,,,,,,,,,,,,,,,,,
842,0.10929283123088876,0.0925230495577482,0.0925230495577482,0.07365235281001156,0.08441767862868421,0.060623884050971445,,0.04449186161612924,,0.020444936048942652,0.020444936048942652,0.023178453145710872,0.02306153968903975,0.02205434548628253,0.02032272252990019,0.02191691944250319,0.02193045060532798,0.02117163779862244,0.021883415539344114,0.020676952078609527,0.021847152052278926,0.021129758134921614,0.02140827088896126,0.020978012093131528,0.020231002026016204,,0.019275832762241957,0.08051895617704095,,,,,,,,,,,,,,,,,,
843,0.10940213932090652,0.09261558552479997,0.09261558552479997,0.07372601544570602,0.08450210809318534,0.06068451639895289,,0.04453635968942299,,0.020465383839386696,0.020465383839386696,0.02320163483488838,0.022980238522409387,0.022157550282133433,0.020255875917491208,0.022019697435424333,0.021856118362237914,0.021100733604909584,0.021804210327550318,0.02058844066843214,0.021768033998860927,0.021054380578864863,0.021330592990557406,0.020902618991237673,0.02015871100113521,,0.019208598432545215,0.08059948637477499,,,,,,,,,,,,,,,,,,
844,0.10504406547331062,0.08452782389298895,0.08778883626319686,0.06762763567607977,0.08056957592734926,0.055606996143753584,,0.046519570323066,0.03683864244200442,,,0.021296950918338012,0.02437606133693438,0.023513898068524303,0.02148848105570393,0.023366961549706567,0.023186052756475024,0.022383933504636654,0.023071560213169712,0.021781002991698724,0.022628857589003005,0.02227387577786908,0.02256747731955183,0.02216525334210958,0.021321666524886554,,0.020368250683326802,0.07456820725376316,0.025118362972553154,,,,,,,,,,,,,,,,,
845,0.10537411239603277,0.0847934090836856,0.08806466750723216,0.06784012072171554,0.0808227243606285,0.05578171251517708,,0.04666573413500819,0.036954388919641784,,,0.021363865627724885,0.02417310038040201,0.023655902293372378,0.021271570512497333,0.023497066591302674,0.022999508385638134,0.02215699685605812,0.022863765132072063,0.021573120777177,0.022425473435662053,0.022074573874694442,0.02236328820131472,0.02196585867194645,0.021130681688125534,,0.020188573955833948,0.07480249947413864,0.0251972845029181,,,,,,,,,,,,,,,,,
846,0.10372536397147689,0.07732905323614556,0.08013362374760823,0.06206676662718468,0.07364156108939257,0.051427367918753686,0.04439141175563709,0.051268845607169045,0.042498621656423805,,,,0.024907351222855322,0.024374443395447316,0.021917688235227224,0.024210783105458763,0.02369811171505872,0.02283000914458466,0.023558245299932078,0.022228398000856242,0.02310664062164283,0.022745082589308185,0.0230425665290196,0.022633065194125248,0.021772519954089034,,0.020801795975423133,0.06947394278121416,0.022216740625966052,,,,,,,,,,,,,,,,,
847,0.1038625101314591,0.07743129807097031,0.08023957679864278,0.06214883159547704,0.07373893030490372,0.0514953654244553,0.04445010628728657,0.05133663351393099,0.04255481353217677,,,,0.02483795356028345,0.024306530537793365,0.02185662046776794,0.0241433262433653,0.023632083274471943,0.022766399439283085,0.02349260655964684,0.02216646452386085,0.023042260156828136,0.02268170950910471,0.0229783645895013,0.0225700042203888,0.0217118566591608,,0.020743837342846145,0.06956580155236189,0.02224611570403289,,,,,,,,,,,,,,,,,
848,0.11246604317910489,0.0876393150369214,0.09173481940429008,0.07844047576298656,0.08253598013035524,0.06478076085185128,,0.04205438683315474,0.04205438683315474,0.02295122371092746,0.02295122371092746,0.026210337201344833,0.024602389853578682,0.024076006858911436,0.021649331790746677,0.023914350397659406,0.02340795606850954,0.022550482398162017,0.023269802153965204,0.021956237278886456,0.022823726846496268,0.022466595669174312,0.02276043726615805,0.022355949795913245,0.021505940925335903,,,,0.02884184004148422,,,,,,,,,,,,,,,,,
849,0.11018948954412351,0.07808609555387211,0.08145032543521845,0.07008568493361209,0.07344991481495843,0.05843419914617475,0.05181752873540828,0.049142242616761776,0.049142242616761776,,0.02132576034349608,0.024245548938012427,0.025498948511397324,0.024956612375848754,0.02244414593295046,0.024788753813161136,0.02426130207232945,0.023372359828684366,0.024122916617509767,0.02275453051173234,0.023519569767121485,0.023283695127800406,0.02358791823796403,0.023168018296519544,0.0223001062078875,,,,0.02457209002069369,,,,,,,,,,,,,,,,,
850,0.11095618028825809,0.07862941313302098,0.08201705109005443,0.07057333621648162,0.07396097417351506,0.058840780207686516,0.05217807146802032,0.04948417089609372,0.04948417089609372,,0.021474143489063183,0.02441424776794749,0.025156251265217002,0.02513404245026917,0.0221317800966352,0.02495997522571652,0.023930567008068723,0.023142868926849126,0.023759107214093533,0.022394813270504542,0.02332283827312261,0.02294099484742255,0.022416519985688305,0.022000652555589636,0.02195398835399599,,,,0.02474306090059203,,,,,,,,,,,,,,,,,
851,0.111079178638256,0.07871657626401142,0.08210796952226397,0.07065156893759661,0.07404296219584916,0.05890600702839476,0.05223591247047702,0.049539025626631684,0.049539025626631684,0.021497948239820746,,0.02444131171503089,0.025094825127983732,0.025047588298030492,0.022077024531158982,0.024885681796495366,0.023871685910008985,0.023085677650484974,0.023702311077537595,0.02234176329410061,0.023267032132269532,0.022886067414041013,0.022362946387669773,0.02194799113699454,0.021901429631080084,,,,0.02477048934718026,,,,,,,,,,,,,,,,,
852,0.11115199626499815,0.07876817868256622,0.08216179515863009,0.07069788436447243,0.0740915008405363,0.058944622686929966,0.052270155568269444,0.049571500788236876,0.049571500788236876,,0.021512041156151605,0.024457334144575047,0.025056689282265204,0.025010799382776568,0.02204350945029836,0.024849129399498567,0.023835429251678905,0.023050622657624493,0.02366626556579637,0.022307702093871676,0.02323165539995424,0.022851270993751498,0.022328939206179104,0.021914619777377863,0.021868129527177413,,,,0.024786727568146743,,,,,,,,,,,,,,,,,
853,0.11365803242182662,0.09194599363555894,0.09631021499104808,0.08225123851201874,0.08661545986750789,0.06779952048886671,,0.04367659252285479,0.04367659252285479,,0.022761687938698903,0.022761687938698903,0.023173133029052984,0.023227279113777914,0.020477685865263596,0.023075500231101213,0.022138459887602806,0.021413051849878243,0.0218767180788746,0.020608281203017425,0.02147104541717816,0.021209912482698254,0.020125519886472886,0.019739251907390117,0.020209905972016915,,0.019276234058263658,,0.030521000177476883,,,,,,,,,,,,,,,,,
854,0.11086924790083544,0.07872186708625901,0.0821001701858753,0.0722598239409749,0.07407503711342937,0.05872399811007059,0.05196837848783909,0.04929708459930653,0.04929708459930653,0.021399958327676934,,0.0243244651051283,0.025132088610417203,0.025189663945779955,0.022217345479976613,0.02502479301822004,0.024011836293475308,0.023297702062405973,0.023732076126324147,0.02234874189872819,0.023126395322270423,0.023001187055184127,0.021824495332219373,0.02140489056254845,0.021930735935470964,,,,0.02472093290027737,,,,,,,,,,,,,,,,,
855,0.10418889384518391,0.07102182995058137,0.08347942561002393,0.06353166871462018,0.07694072053106431,0.051474688570042657,0.04314418568855082,0.04127752996185027,0.04127752996185027,,,0.020438427158381837,0.024237500968367725,0.024273022091550495,0.021420375434668067,0.024114755390246358,0.023157449384540132,0.022469488929251397,0.022903227238484057,0.021769280816750485,0.022308585284419286,0.022199871221056214,0.02106845133342984,0.02065309978363497,0.02117063067117846,,,,0.03453864092920873,0.07694072053106431,,,,,,,,,,,,,,,,
856,0.10455031988275082,0.0712682011100442,0.08376901154287224,0.06375205688111381,0.07720762402454422,0.05165325167824213,0.04329385070083739,0.041420719639214815,0.041420719639214815,,,0.02050932703522409,0.023858965414418454,0.024302147863335097,0.021581511206786336,0.02414513767671104,0.022517970915390956,0.022461981562248618,0.022944173869352234,0.021800387519175603,0.021936274232634174,0.021832992032519306,0.0207213829300061,0.020313181740807255,0.020872733138883937,,,,0.034658453739128174,0.07720762402454422,,,,,,,,,,,,,,,,
857,0.09100891365874306,0.05611924559763027,0.0657340762464474,0.04832548022645846,0.059031923587444475,0.04785108612220023,0.04454889398232789,0.04212074504979542,0.04212074504979543,0.018203360947042363,0.018203360947042363,0.020752987356593613,0.0174886637038019,0.017868406361494355,,0.017750898785893875,0.01650953096321372,,0.01649827481885541,,,,,,,,,,0.02032127400980298,,0.06160720182604259,0.054727337134356666,0.054727337134356666,0.05472733713435666,0.037917639785434706,0.037917639785434706,0.037917639785434706,,,,,,,,,
858,0.09225117225259284,0.05688526523594209,0.0666313369415055,0.04898511608738456,0.059837700861777865,0.04850424657177162,0.04515697998370092,0.04269568716715402,0.042695687167154016,0.018451834208224296,0.018451834208224296,0.021036262651895492,0.017875098262408642,0.018014460618667263,,0.01789289315440383,,,0.01655501273866673,,0.016540911850853143,,,,,,,,0.020598656479956536,,0.06004638534574273,0.05334082180513548,0.05334082180513548,0.0533408218051355,0.036956997598855755,0.036956997598855755,0.036956997598855755,,,,,,,,,
859,0.08963964391741254,0.0552749064904603,0.06474507771915945,0.04759840179920158,0.05814376193941167,0.04713114516605812,0.043878635981353685,0.0414870196336758,0.0414870196336758,0.017929483253822494,0.017929483253822494,0.02044074939563792,0.018358777052409004,0.018503557167424235,,0.018378637093710813,,,0.017002793468260176,,0.016987306253611344,,,,,,,,0.020015531368909076,,0.06260983882652328,0.055618006593807605,0.05561800659380762,0.055618006593807605,0.038534736934679105,0.038534736934679105,0.038534736934679105,,,,,,,,,
860,0.08968673129771751,0.05530394219865249,0.06477908807400029,0.047623405067281195,0.058174304646981166,0.04715590298592059,0.043901685269920936,0.04150881261483724,0.04150881261483724,0.017938901546441125,0.017938901546441125,0.020451486847265873,0.01832876757529381,0.01847331103099693,,0.018348595153133952,,,0.016975000498171612,,0.016959538599109553,,,,,,,,0.020026045455047596,,0.062582386211087,0.05559361969591793,0.055593619695917924,0.05559361969591793,0.03851784055970302,0.03851784055970302,0.03851784055970302,,,,,,,,,
861,0.10479777810108704,0.057492818267445164,0.07621551227455077,0.05042423801468203,0.07004449252916982,0.04859861634415502,0.05976030444385376,0.05717710132473521,0.05717710132473521,,,,0.025173130989533783,0.02526376185561338,0.022254944274126325,0.025096669878171062,0.023267646618501312,0.02222928816155323,0.023780056542657628,0.021534864255643656,0.023321407413417036,0.02305404753991481,0.021873779246059835,0.02143841284677536,0.022019081315260876,,0.020982605944181814,,0.021273245378950086,,,,,,,,,0.0757490951152258,,,,,,,,
862,0.10195883972950688,0.055935356164457696,0.07415085836464487,0.04905826149541377,0.06814700957521723,0.04728209533345153,0.05814141686382017,0.055628191892991896,0.055628191892991896,,,,0.02290200242942006,0.022751230409706173,,0.022609859166267843,0.021124886327202986,,0.021186749325417628,,,,,,,,,,,,0.023912237481464784,0.0228832017055052,,0.02253729097178701,,,,0.07369707629734919,0.02901586930321548,0.027304475556210402,0.02659847603084123,0.025609588768613405,0.024602680638121998,0.024196518893944082,0.02313763538243664,
863,0.1004565578360063,0.05511119346316272,0.07305830481848583,0.048335427279501735,0.06714291793536863,0.04658543150425676,0.05728474962389559,0.05480855501137647,0.05480855501137647,,,,0.023371643519127183,0.023223536273231062,,0.023078324466991016,,,0.021657259485464597,,,,,,,,,,,,0.024589452347726668,0.023531273404970774,,0.023175566185605644,,,,0.07261120886673543,0.029837623355502746,0.0280777614846595,0.027351767453359026,0.02633487406432869,0.025299449440746358,0.024881784851153946,0.023792912859639626,0.02159386945732736
864,0.10673139419342978,0.07036862687379535,0.08264286813510782,0.060462700569846824,0.07414391045920721,0.05983772786695454,0.05548917172534932,0.05236187142465081,0.05236187142465081,,,,0.023366323756377073,0.022954183929347192,,0.022869906796527926,0.021470770969669473,,0.021784763012418617,,,,,,,,,,0.025955451150672555,,0.02298940641847769,0.02212859881995906,,0.02188902264471461,,,,,0.028846578579645447,0.028213193056904787,0.02629640541374767,0.025218857083085786,0.025363501466564978,0.023717361090870272,0.02253553313802444,
