threshold,PTC6,PTC5,UTH1,CDC42,HOG1,KSS1,STE11,BNI1,FUS3,BEM1,RHO1,CDC24,PBS2,CLA4,SHO1,BEM2,STE7,PTP2,RGA1,ACT1,RDI1,PTC1,STE5,RSR1,STE50,PTP3,SSK1,PDA1,PDB1,IRC15,PDX1,MAE1,PGI1,TAL1,TKL1,TPI1,NQM1,TKL2,ZWF1,PGK1,FBA1,GPM1,ENO2,CDC19,ENO1,PYK2,PFK1,ERR3,TDH1,ERR1,TDH3,TDH2,MLS1,AIM22,SLT2,GIC2,SPA2,STE20,KGD2,PKP2,ILV2,PYC2,HSP82,HSC82,AHA1,STI1,SBA1,HSP104,CPR6,FES1,PYC1,LPD1,LSC1,YMR31,KGD1,SIS1,BTN2,HSP78,HSP26,CUR1,YJL144W,MDH1,CIT3,IDH1,IDH2,ACO1,FUM1,CIT1,ICL2,CYT1,QCR2,RIP1,MBF1,MDH3,IDP3,ATP18,ATP15,ATP6,ATP2,ATP16,MDH2,CIT2,IDP1,TOM40,TOM22,TOM70,PTC7,ACS1,TIM8,TOM7,TIM54,TOM20,TIM22
800,0.2521576383983606,0.21550324179448024,0.11619725715721459,0.026513927209734226,0.02547930670133953,0.023079576360289313,0.022692108461557933,0.021910238456969384,0.0215008160730896,0.02144002268317038,0.02040988611630227,0.01989920198042483,0.019491684579988042,0.01928757916176225,0.01703517036436664,0.016654200227743266,0.01659873023574698,0.016508736065417324,0.016385798081985623,0.015680556482034345,0.015656680572356467,0.015168888868787218,0.01508898813656892,0.014891647557082553,0.014768118273227387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,0.25163622778935296,0.21505762500785056,0.1159569849092502,0.02517791701931991,0.027337712367189522,0.022485913106350095,0.023070570744435533,0.02172672238758222,0.021593892020660182,0.020468883404068883,0.020500989742540686,0.019009752772525923,0.021171434852114274,0.018931742346715897,0.017724821679024564,0.016132493818840837,0.016400593723193774,0.017797052887416506,0.015697080243407796,0.015801418070103275,0.014981302710596637,,0.01463817842163706,,0.015805133363248947,0.01555031614150018,0.015345240471073487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,0.25039428970454625,0.21399621879749794,0.11538468497842028,0.025535917286206373,0.027204939283759635,0.022455335849539973,0.02308510778814933,0.022604577141349516,0.02156810457215471,0.0213861620415453,0.020215258780254937,0.01984500129165416,0.021154327841327113,0.01907740936441106,0.017728611613266155,0.015831134753218096,0.016404245111658937,0.017795215065816432,0.015665221898183618,0.015707523794421373,0.015376638244694,,,0.014917561066601186,0.015810191026430248,0.01552911265687152,0.015327210048021936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15849129825978764,0.14791709235207076,0.12747441709741872,0.12747441709741872,0.0900227537663487,0.019301586920600015,0.018780416512247686,0.018664434323796036,0.018636798822696064,0.01837859064267533,0.01837859064267533,0.018354427594541766,0.0182414907253676,0.01772927584384156,0.017617287237071764,0.017585538740109652,0.017100394541011234,0.01709733330683602,0.01672202569883393,0.01655060790746967,0.016410447973684687,0.016150879401295937,0.01603912831965947,0.015451534010911268,0.015429232261630324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17887959980453963,0.16469428193839009,0.16469428193839009,0.16469428193839009,,0.017436922116149268,0.01696904740573808,0.01686347753522278,0.01683364269447825,0.016606617252447234,0.016606617252447234,0.01658206930364828,0.01647788489011415,0.016009559975658574,0.015906768149243095,0.015878888380303376,0.015438008640074573,0.015435239386793243,0.01509545626545038,0.01496908260592128,0.014814782962035854,0.013970107340717285,0.013864050365915455,0.013970107340717285,0.013921781894160065,0.013387442623054422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,,0.06013368161387708,,,,,,,,,,,,,,,,,,,,,,,,,,0.15368129581074796,0.12728167134718027,0.10993669567084567,0.10993669567084567,0.07901813163236518,0.0209753144282802,0.020402649813939366,0.020275340914076134,0.020267654491063172,0.01958691371385012,0.01958691371385012,0.019934595046140608,0.01985136323882058,0.0192746248274851,0.01915197751424624,0.019118383905232267,0.01858697703868645,0.018583717472672612,0.018172859275231663,0.01802014896363907,0.017833595705877683,0.016815730294109613,,0.016815730294109613,0.016757337602827486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,0.07282685198134749,,,,,,,,,,,,,,,,,,,,,,,,,,0.16471918739136107,0.13054248547406033,0.13054248547406033,0.13054248547406033,,0.020648297215856135,0.02008456077212632,0.019959236691212644,0.019951670103954034,0.019281542466873337,0.019281542466873337,0.01962380324728193,0.019541869071695046,0.018974122343808107,0.01885338717270299,0.018820317307369352,0.018297195379423863,0.018293986631918377,0.017889533950012766,0.017739204479984012,0.01755555969477641,0.016553563390034953,0.016427467354786958,0.016553563390034953,0.016496081074384827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,,0.060073854801535626,,,,,,,,,,,,,,,,,,,,,,,,,,0.15352839876872257,0.12715503920921994,0.10982731999510423,0.10982731999510426,0.07893951673958184,0.021012411679169965,0.02043873424173431,0.020311200181470514,0.020303500164136307,0.019621555418730553,0.019621555418730553,0.01996985166536036,0.01988647265303663,0.019308714213628803,0.01918584998454033,0.019152196961373297,0.01861985024079477,0.018616584909864335,0.01820500006254728,0.018052019665242176,0.01786513646663384,0.016845470843065296,,0.0168454708430653,0.016786974877606945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,,0.060530958330287016,,,,,,,,,,,,,,,,,,,,,,,,,,0.15469660036112215,0.12812256522054508,0.11066299893877989,0.11066299893877989,0.07954016958230023,0.02069400021052493,0.020138730232758535,0.02001344075172993,0.01997803300049174,0.01970860101508227,0.01970860101508227,0.01967946770507322,0.019555822473348985,0.019000018197010447,0.018878025676580937,0.018844938188980493,0.01832170562670041,0.01831841909897463,0.017915167198337325,0.01776518794629502,0.017582066358564137,0.016579612062504467,,0.016579612062504467,0.01652225980764163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,,0.047409648866571355,,,,,,,,,,,,,,,,,,,,,,,,,,0.14544195280439567,0.12673163416975514,0.09481866989171794,0.11352872846592534,0.06690950690715831,0.019013164120734883,0.018492347667855964,0.01837618355867348,0.018119393318602812,0.017584538663040626,0.017584538663040626,0.01806602761300889,0.01800596008536982,0.0174701816789013,0.017092453030011733,0.017328290214279996,0.016869290790214278,0.016841511135382504,0.016492290053791915,0.016328691611743645,0.01615945432214302,0.01525843623798139,,0.01525843623798139,,,0.09481866989171794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,,0.04690733409766717,,,,,,,,,,,,,,,,,,,,,,,,,,0.14390096605046454,0.12538888700640888,0.0938140470060158,0.1123258687450309,0.0662005872188022,0.01959239595591478,0.018712400353563325,0.018608084404924494,0.01837495291397587,0.017800509190225883,0.017800509190225883,0.018285597614392992,0.018261533885583953,0.01801494285579816,0.01762463089238725,0.017870250855192574,0.017395172833820697,0.01736627125143643,0.017003100211769255,0.016833071131650033,0.016656521334129815,0.01572415899730167,,0.01572415899730167,,,0.0938140470060158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,,0.047440554863693134,,,,,,,,,,,,,,,,,,,,,,,,,,0.14553676533058438,0.12681424957852797,0.09488048147667635,0.11360273699876813,0.0669531247165564,0.019114452947734454,0.018256461603889555,0.018153992850835226,0.017921424776974438,0.017363953700903403,0.017363953700903406,0.01783109394470576,0.01781325093697659,0.017569192454467027,0.017184982363246726,0.017427212765061123,0.016961170948276625,0.016932654471383063,0.01657779710168396,0.016471173191758358,0.016240211947729444,0.015354312925994078,,0.015354312925994078,,,0.09488048147667635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,,0.04426047153730371,,,,,,,,,,,,,,,,,,,,,,,,,,0.1357809974620546,0.11831350835001635,0.08852035693743544,0.10598760326350765,0.06246505504341393,0.021981689154051208,0.02103409727441826,0.020915616257944695,0.020600256567650535,0.020005848281089974,0.020005848281089974,0.020544502520827106,0.020480545958280395,0.020199308082227512,0.019899017753809776,0.020035123947274785,0.01948799650496673,0.01946548147814392,0.01854465630838996,0.01893239251066017,0.018667083516672508,0.0176760930356676,,0.0176760930356676,,,0.08852035693743544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,,0.044312103450587025,,,,,,,,,,,,,,,,,,,,,,,,,,0.13593939235580474,0.1184515265995107,0.08862362008024563,0.10611124276735243,0.0625379234560905,0.021935332522620764,0.0209897389956714,0.02087150784083374,0.02055681320465934,0.019963658450785286,0.019963658450785286,0.020501176736143073,0.020437355049982644,0.020156710269413597,0.019857053215717343,0.019992872378253944,0.019446898759249043,0.019424431213800053,0.018505547949088375,0.018892466464232954,0.018627716973710347,0.01763881636760801,,0.01763881636760801,,,0.08862362008024563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,,0.05908812610980456,,,,,,,,,,,,,,,,,,,,,,,,,,0.15100921054346506,0.12506860125945293,0.10802520590049923,0.10802520590049923,0.07764422868425964,0.021872818426786504,0.020929919772335794,0.02081202556765544,0.02049822778821316,0.01990676348207178,0.01990676348207178,0.020442749879569247,0.020379110080553712,0.020099265117114858,0.019800462064138803,0.019935894151980542,0.019391476517919393,0.019369073003334212,0.018452808488824364,0.01883862431445598,0.018574629340647703,0.017588547029057048,,0.017588547029057048,0.01675171606623199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,,0.060012262115661054,,,,,,,,,,,,,,,,,,,,,,,,,,0.1533709887528441,0.1270246693434396,0.10971471594059079,0.10971471594059079,0.07885858141632526,0.021284058291904138,0.020369060533558168,0.02025441818571391,0.019941881012263827,0.01947093182606266,0.01947093182606266,0.01989568872446146,0.019822734589756263,0.019553824922701274,0.019263021090989315,0.019394599997453955,0.018865094680949945,0.01884330910927163,0.01795288469937201,0.01832781695607908,0.01807125932659613,0.017112086353719847,,0.017112086353719844,0.016298378009912292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,,0.05988661970000866,,,,,,,,,,,,,,,,,,,,,,,,,,0.15304988935017932,0.12675872892158055,0.10948501585168524,0.10948501585168524,0.07869348211303669,0.021352672892223784,0.020437527283790214,0.02032260262237021,0.02000106662713227,0.019645080235071125,0.019645080235071125,0.019963390759179436,0.019877935838087096,0.019611946017820646,0.0193201562240416,0.01945192839910288,0.018921003170907155,0.01889916395541461,0.018007177315304,0.018382764092339618,0.018125747747867706,0.017163890652152708,,0.017163890652152708,0.01634822349179548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,0.24566521377534822,0.20995457564162262,0.11320547020090517,0.027341936207050378,0.02601365114128739,0.023263750858346918,0.02274743885096636,0.02412597855024291,0.02249386056433539,0.024258687746457952,0.020993765216294775,0.023217307235925345,0.020319031742988557,0.021668573204234286,0.016554345866256814,0.015829479131001512,0.016249461807606693,0.016694775129430024,0.0156705880878695,0.015671432144724676,0.01667715172779653,,,0.01637245029949573,0.015269053340340693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014915622230225046,0.01482639929924651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,0.2455319093635882,0.20984064876214262,0.11314404193281122,0.027369646527798767,0.02610036352171958,0.02335637352784878,0.02184536733548443,0.024570843714867487,0.02257775840072649,0.0245582858709216,0.021347304020309515,0.02298116590226223,0.020323007432183432,0.02196998204333714,0.016529297321418293,0.01612768589293806,0.016371542411454637,0.015306304332922993,0.01584883544733047,0.015632893203748745,0.016955819313511877,,,0.016131282598904062,0.01534022478007153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015112978848025198,0.015126437493672684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,0.24474182286733,0.20916541162745506,0.11277996062095694,0.027043023216284847,0.026226853407126893,0.023488307605086217,0.021994730048391337,0.02449594966270239,0.022701033086859803,0.02461599462885496,0.02214652035969217,0.023068259802319253,0.02043286077714661,0.021977820072388826,0.0166259326282495,0.016284551608846762,0.016458501801282242,0.015384439455495998,0.015943477383851677,0.015798386935288875,0.017081390831640595,,,0.01616739534542425,0.015448979960333436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015104921522449681,,0.014823474744541727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11564298415886855,0.10709228127761027,0.08520937939550846,0.09953002354653034,0.04499613688809305,0.021842450234789083,0.020915372452953322,0.020798113293110328,0.020446586330581436,0.02048886351093912,0.02048886351093912,0.0204323945447204,0.020303120580551736,0.020049317455769832,0.01975060313143471,0.019884638584922083,0.01934239388652867,0.019320093276188867,0.018411915700313187,0.018794310505618916,0.018532585293923834,0.017549832554032103,,,,,0.08520937939550846,,,,,0.09953002354653034,0.025438336944033774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10469656398535486,0.09852956746036276,0.06269718541219987,0.07227382465888849,0.057297463038126814,0.022032181630240278,0.02144172574659845,0.021308246965594066,0.020948360014002035,0.02125126831238149,0.02117761295305143,0.020687910155336924,0.020752506540603878,,,,,,,,,,,,,,0.06269718541219987,,,,,0.07227382465888849,,0.057297463038126814,0.057297463038126814,0.026677190049882678,0.02592408476930299,0.02338060075457835,0.022513404034367718,0.022365871308616312,0.02223501094757173,0.021308685353377026,0.0209347997622199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11254878674797787,0.1049750539984416,0.07592130713142611,0.08818979827603433,0.05193604627559064,0.022168713330934477,0.02162116778540245,0.021486085957255808,0.021072891780267264,0.02159498080077475,0.021519561054935278,0.020860021809674743,0.020864148677752523,0.020316747025546887,0.020049566459521363,0.02014640009113645,0.019140705068035675,0.01957450917003829,0.018701747974674172,0.019045943878820863,0.01878462297300901,,,,,,0.07592130713142611,,,,,0.08818979827603433,0.023434042049698366,,0.05193604627559065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10837173486420736,0.10198825782470851,0.06489804913916195,0.07481085782959304,0.0593087799292839,0.022427359000345357,0.02185301889666338,0.02171593040700995,0.021314512012410296,0.02183122805793449,0.021754337874114144,0.02108008790796731,0.02110511467449149,0.020559215854431136,0.020287151255507667,0.020385831879073387,0.019362158054185792,0.01980475171275667,0.018916468594559643,,0.019002886184079557,,,,,,0.06489804913916195,,,,,0.07481085782959304,0.02089580122019226,,0.05930877992928388,,,,,,,,,0.05930877992928388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,0.02496079267712849,0.024403413164777687,,,,,,,,,,,,,,,,,,,,,,,,,,0.10219939355881048,0.0919690968373245,0.05470095579364111,0.07278446549535611,0.046112078925095966,0.02345563499160714,0.022860925103087626,0.022709876698811516,0.02223204377291576,0.022873879662978044,0.02278869161404927,0.022655477799141056,0.0220584921146053,0.02143162518837422,0.021744720543270712,0.021280031495298734,0.02009272823979252,0.021280031495298734,,,,,,,,,0.06519851074154348,,,,,0.07278446549535611,,,0.046112078925095966,,,,,,,,,0.046112078925095966,0.06519851074154348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,0.02507827390392135,0.02451827101218724,,,,,,,,,,,,,,,,,,,,,,,,,,0.10268040833618881,0.09240196138867268,0.05495841297765383,0.07312703507671768,0.04632911143973454,0.023151972174818725,0.02256883434172531,0.022419892008936928,0.02194290936815961,0.022767414018837716,0.022682719149759816,0.02236572966427606,0.021758093338365474,0.021153120895889447,0.02146166876021528,0.021002937436257935,0.01983228724065279,0.021002937436257935,,,,,,,,,0.06550537603729198,,,,,0.0731270350767177,,,0.04632911143973454,,,,,,,,,0.04632911143973454,0.06550537603729197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,0.02092265158511652,0.023286488232410585,,,,,,,,,,,,,,,,,,,,,,,,,,0.10285122614936736,0.09386885621130699,0.05577773757150978,0.07428147556799633,0.046946370120852184,0.02298630609226525,0.022444153332612796,0.022301676782974015,0.021833027915383992,0.02260879954171347,0.02252813373266819,0.021645986749590642,0.021610250745048874,0.021086207744093106,0.0207703520939827,0.020905711415845834,0.01981509470011391,0.020306949653891442,,,,,,,,,0.0665241641257777,,,,,0.07428147556799632,,,0.046946370120852184,,,,,,,,,0.046946370120852184,0.0665241641257777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,0.021787392371824546,0.024248927246024243,,,,,,,,,,,,,,,,,,,,,,,,,,0.10710210466982963,0.09774849012086792,0.05808305171738466,0.07735155592369057,0.04888668064345678,0.020709400719100254,0.019783394673650916,0.01966921632095075,0.01928594389759141,0.019632181130375063,0.01974965465820207,0.019683077210217045,0.019106223864550066,0.0189623263007316,0.019210411034424568,0.018796183650437417,0.017735419019641256,0.018796183650437417,,,,,,,,,0.0692736319830038,,,,,0.07735155592369057,,,0.04888668064345678,,,,,,,,,0.04888668064345678,0.0692736319830038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,0.021125971143756472,0.023512778790776328,,,,,,,,,,,,,,,,,,,,,,,,,,0.10385070108786618,0.0947810433849679,0.056319767578501885,0.07500331891400666,0.04740257975632253,0.022421034997257443,0.02183999972881109,0.021702824481806337,0.02144187842534887,0.021827763169309206,0.021923966608233952,0.021108498518155275,0.021039925899498713,0.020564581267112064,0.020423064142097738,0.020420962166706313,0.019303644776156245,0.01983596787855995,,,,,,,,,0.06717062442904854,,,,,0.07500331891400666,,,0.04740257975632253,,,,,,,,,0.04740257975632253,0.06717062442904854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,0.021153817671749144,0.02353565938683524,,,,,,,,,,,,,,,,,,,,,,,,,,0.10476003303419121,0.09333236845351423,0.05554978601254268,0.07386809579983229,0.04687982227821324,0.022970712032961277,0.02237357446290968,0.0222334993722189,0.02214385522963044,0.022358366891369878,0.022456686183030525,0.021625875670907013,0.021557544959440806,0.021072779132059363,0.021120488124864393,0.02092607639841635,0.019764821457823777,0.02032809928514276,,,,,,,,,0.06618014890304405,,,,,0.07386809579983229,,,0.04687982227821324,,,,,,,,,0.04687982227821324,0.06618014890304405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,0.024020035306670722,0.026841106651502546,,,,,,,,,,,,,,,,,,,,,,,,,,0.10808368124323245,0.09432695628063993,0.0657634642154365,0.08917830488931211,0.0349590105306525,0.02216014282887866,0.021566411843393748,0.021432752899051947,0.021357373443043556,0.021602866835503182,0.021479839897533118,0.020890809118240438,0.020753040314625392,0.02035493181142218,0.0203710898170923,0.020180622387512337,0.019056460616390446,0.019602125221002797,0.018613334831850764,,,,,,,,0.07949289989938316,,,,,0.08917830488931211,0.019241534328933916,,,,,,,,,,,,0.07949289989938316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,0.024048741668403404,0.026873184477659174,,,,,,,,,,,,,,,,,,,,,,,,,,0.10821285212960105,0.0944396864949616,0.06584205817953605,0.08928488194659683,0.035000790069662197,0.022095121221351596,0.0215031323430098,0.02136986557661959,0.021294707296685825,0.021539480370005897,0.02141681441388228,0.020829511950532696,0.020692147383891548,0.020295206998378206,0.020311317593726494,0.02012140902780317,0.01900054573747372,0.019544609269835023,0.018558720158942187,,,,,,,,0.07958790192209285,,,,,0.08928488194659683,0.019264529900659185,,,,,,,,,,,,0.07958790192209285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
