threshold,MAE1,PYC1,IDH1,IDH2,KGD1,RIP1,CYT1,QCR2,MRPS9,MRPS5,MRPS28,PCK1,FDH1,ERT1,GDH2,MRPS16,MLS1,ACS1,DAL7,ACS2,LAT1,RPS8B,RPS8A,RPS13,CIT1,RPS20,RSM10,RPS3,RPS5,RPL5,SDH2,SDH1,SDH3,SDH4,GDH1,PDA1,PDB1,KGD2,PDX1,IRC15,HSP82,HSC82,AHA1,PGI1,TAL1,TKL1,SOL4,PGM2,GAD1,AIM22,NQM1,NOP7,YTM1,PWP2,LPD1,TKL2,MRP17,AAT1,AAT2,GDH3,TPI1,RPF2,ASC1,MDH1,MDH3,HSP104,BTN2,SIS1,TFS1,HSP78,DCS2,CIT3,ATP2,ATP16,ATP18,ATP4,QCR8,ACO1,ATP6,ATP15,TOM40,TOM22,TOM70,RPN10,RPT5,RPT2,GPM1,RPS15,TIM8,RPT1
800,0.403155171116566,0.403155171116566,0.044466989250449444,0.044466989250449444,0.044466989250449444,0.015149342189074022,0.015114959369047328,0.0148308255541888,0.005071008495982146,0.005066736192771564,0.005055818214455808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,0.18863052784317616,0.18863052784317616,0.04106283176327996,0.04106283176327996,,0.016196594305390714,0.016086923508914247,0.015855538366573184,0.005356415184211315,,0.005338109404710487,0.1983215876658064,0.18863052784317616,0.04895208142823171,0.04053690383160223,0.005338599248471279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,0.18874399376789877,0.18874399376789877,0.040951709898252364,0.040951709898252364,,0.01618291110736456,0.016072823059600345,0.01584095944168375,0.00531805081053221,,0.005299880220465575,0.19844088300253826,0.18874399376789877,0.048981527315118956,0.04042720520238494,0.005300358740110499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,,,,,,0.05250279381671689,0.05268441199312128,0.051625426558220944,0.017886911910603,,0.017825611155464726,,,,,0.017827320240055088,0.16211110299559517,0.15720873638006638,0.15481754527563082,0.14991517866010207,0.14255705634216626,0.007688064619852775,0.007678955086444144,0.007670884965960552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,,,,,,0.05380445340588617,0.0536335990922708,0.0528968259484614,0.01838683363289172,,0.018323729390107228,,,,,0.018325487934278923,0.16304901094731403,0.15277568952357193,0.15612179646246377,0.14584847503872164,,0.007903443203680619,0.007894400694180277,0.00790167524915981,0.14313457947701158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,,,0.10201136523804744,0.10201136523804744,0.10201136523804744,0.035206035579506405,0.03526965047825538,0.03481372917290843,0.01229833612992253,,0.012256126282940842,,,,,0.01225730394142258,0.11898590993713556,0.11588490377560073,,0.10963025659179251,0.1038884025538125,,,,0.10347524984256032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,,,,,0.05352162201651717,0.05358850710692451,0.05290475726737712,0.018742862531078677,,0.018678583386968418,,,,,0.018676598480009788,0.1577120264499438,0.15630885013134196,0.15015840852851575,0.14921112713026738,,0.008017829749954386,0.008017829749954384,,0.14644832344527792,0.008012674025868673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,,,0.10229654894800412,0.10229654894800412,0.10229654894800412,0.03480091245077125,0.03516242192737258,0.034506616804690006,0.012517302410451353,,0.012474277332136857,,,,,0.012472914150170452,0.11854255893055028,0.11544513411424452,,0.10969973341177505,0.10398247208700276,,,,0.10350600953682261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,,,0.10283457166982385,0.10283457166982385,0.10283457166982385,0.035062609109000865,0.03524201360659508,0.03476546991265755,,,0.012204543229894881,,,,,0.012203211335880346,0.11825456242270288,0.1151646627310314,,0.10943322035166059,0.10372984898599531,,,,0.10325454399097352,,0.012181599314135955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,,,0.10029370202064362,0.10029370202064361,0.10029370202064362,0.0352246303096248,0.0354166443416019,0.03493227580934295,,,0.011998602336483963,,,,,0.011994907518373264,0.1196382626617434,0.11687075613632562,,0.11104935125949973,0.10525857873560919,,,,0.10475883110256144,,0.01197605372690306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,,,0.10204406791207704,0.10204406791207704,0.10204406791207701,0.03592200664252179,0.03611337621191578,0.03562192419634923,,,,,,,,,0.12239264535553662,0.11951380410639477,,0.11345832963209565,0.10747078296947138,,,,0.10704136812160253,,,0.00545461242251781,0.005452183247888276,0.005426763357475108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,,,0.1019485087882088,,0.1019485087882088,0.036296765604531316,0.03649352663070649,0.03599742780442735,,,,,,,0.09889969675861843,,0.12286323496312433,0.11997332480726994,,0.11389456753400574,0.10788399924923912,,,,0.10745293333676452,,,0.005460296781123354,0.00545195215569636,0.005435256798075305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,,,0.07577375480158209,,0.07577375480158209,0.02735188509636319,0.027620388629228457,0.027254575439484806,,,,,,,0.07593273178668737,,0.07876348845623107,0.08118330022838986,0.07538913553589092,0.07801100286411437,0.07450793058201881,,,,,,,,,,0.10475782390925589,0.10052801550334041,0.09715221236583059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,,,0.07649734889939733,,0.07649734889939733,0.02777748415417354,0.028051949299737117,0.027678898414223684,,,,,,,0.07668200957803627,,0.0784695033015899,0.08146329016826914,0.0727349430298326,0.07537608664059164,0.07192850312116618,,,,,,,,,,0.10628347353487363,0.1019920639485393,0.09856709701017238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,,,0.07827747442771932,,0.07827747442771932,0.026975218131249777,0.02725861095360545,0.02721344656896124,,,,,,,0.07846643223812623,,0.07925491752054806,0.08227866969444461,0.07346295908788235,0.07613053834126586,0.07264844738897445,,,,,,,,,,0.10316790946481443,0.10038422963914091,,0.09620367211554799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,,,,,,0.03713125628654836,0.03754265154893683,0.03748051114601304,,,,,,,,,0.10042491595226655,0.10425635086411683,0.09308585161409882,0.09646597527958109,0.09205377346091981,,,,,,,0.005320122734358021,0.005296711216314391,0.005282207287160079,0.13183211578942958,0.1290784710033141,,0.1247490858169426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,,,,,,0.036886836628902665,0.03729552384693049,0.03723379248850256,,,,,,,,,0.10096438692947889,0.10482289267688571,0.09385517761572701,0.09725401324267484,0.09276455505490995,,,,,,,0.005273661172952507,0.005253932469087891,0.005240516383566104,0.13097583148546385,0.12824007234727972,,0.12393880765763779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,,,,,,0.03460150643911535,0.03566243745234392,0.03560686639000751,,,,,,,,,0.11163049970494013,0.11038214432926056,,0.10112040031842061,0.09617830080112182,,,,0.09037456504064408,,,0.005341605848619686,0.0053195066152270844,0.005306985746604394,0.12595784889762418,0.12332690292660402,,0.11919042948946666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,,,,,0.06920978522849232,0.027490527969849805,0.028329323558917388,0.028289274919369053,,,,,,,0.06941859799304097,,0.08085254543469732,0.08394103282170672,0.07513786594655714,0.07785996593168237,0.07426532038682104,,,,,,,,,,0.10975936234936406,0.1069660668586028,0.1015353684452377,,0.0669449621556614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,,,,,,0.03564197246340593,0.03672948629074172,0.036677562496861,,,,,,,,,0.10130321432318344,0.10517289706500095,0.09414307610041171,0.09755369819919275,0.09304983074407251,,,,,,,0.00546995572789616,0.005449653051199501,0.0054349633145725496,0.13119366737912125,0.1286280321475318,0.12355199069680874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,,,,,,0.035862349180639116,0.036960896886796636,0.036910891130984884,,,,,,,,,0.10161213811787413,0.10551566128062362,0.09475348510779093,0.09817467828354431,0.09371401645814088,,,,,,,0.005642118785963293,0.005621167816827927,0.005572187154990025,0.12977877736659582,0.12734974118818315,0.12253189124104528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17866915943164138,0.16814491638683313,0.12333836956215438,0.12333836956215438,0.10699542554132419,0.04301363392821421,0.04179934581212375,0.037698295809966136,0.03552413854349135,0.03457210224648108,0.03435688439885277,0.024408617126895963,0.02408376944531472,0.024056972204552707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035287554485233415,0.003509461667801991,0.003490670232535161,,,,,,0.207505502039798,0.19354185781121172,0.1625949856486196,0.1625949856486196,,,,,0.039164406782973074,0.03819708422539831,,,,,0.13997564440300214,0.03815082093067891,0.0026154821168887315,0.002577571005817216,0.0025527720381321607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003962030603820149,0.003940721099536528,0.003919910005329074,,,,,,0.21779920480940676,0.20497006421417632,0.15035050760063445,0.15035050760063445,0.1304283216827938,,,,0.04258604273500308,0.041495460816755335,,,,,,0.04145408342634011,0.0029524321731906047,0.002909569630692932,0.002881143601686339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004281087545220901,0.004258011711303946,0.004235706393383737,,,,,,0.2116639676428037,0.19047611985986335,0.15074305446482467,0.15074305446482467,,,,,0.047106956465164954,0.04591257512192202,,,,,0.1350318723761874,0.04593859231945265,0.003244562893165983,0.003198156659752989,0.003166282082129093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004371285251513721,0.004354799533335827,0.0043323482293370925,,,,,,0.21191549361672596,0.1907024677455721,0.1509221864824681,0.1509221864824681,,,,,0.04633427287238755,,,,,,,0.04556465279855615,0.0033721161923944455,0.0033268934839659806,0.0032938108246430126,0.13519233437445857,0.0453951521121734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,,,,,,,,,,,,,,,,,,,,,,0.005983460990927808,0.005971750860713024,0.005968598446468526,,,,,,,,,,,,0.20933245488030447,0.19105069373682004,0.15118462088335222,0.15118462088335222,,,,,0.0450635090594594,,,,,,0.13539621360551943,0.04432342625570174,0.003501064867223994,0.0034542616213903907,0.0034200389569399186,,0.04416528495182674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,,,,,,,,,,,,,,,,,,,,,,0.0047474828112435115,0.004738402954602146,0.004735373903847936,,,,,,,,,,,,0.21464165523711634,0.19589622240525653,0.15501904514211007,0.15501904514211007,,,,,0.039977189924794015,0.038189638461931415,,,,,0.13883020393442685,,0.0034031426122453144,0.0033558779527335446,0.003322212394986105,,0.03812450712259622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,,,,,,,,,,,,,,,,,,,,,,0.005731175581720512,0.005733140388195707,0.005716234022076253,,,,,,,,,,,,0.21063296149529906,0.19223762240082545,0.15212387609658076,0.15212387609658076,,,,,0.04380274082830285,0.04266760423541264,,,,,0.1362373811709592,,0.0034302432123802223,0.0033828968899894214,0.0033486018799374338,,0.04283164570173973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,,,,,,,,,,,,,,,,,,,,,,0.006013741696415892,0.006015546672784339,0.005997525538230131,,,,,,,,,,,,0.21307719258624133,0.18983383711810056,0.15024438250780958,0.15024438250780958,,,,,0.0450682841453993,0.043896706806291916,,,,,0.13460744450698725,,0.00369361233816279,0.0036425280950597378,0.0036050443944384363,,0.04405977108626914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,,,,,,0.051496998817394765,0.05301778488224823,0.05120082999722717,0.020638603137306397,,,,,,,0.02047186912108781,0.15695269020229077,0.1626001903250564,0.14608563543989392,0.14501129182111797,0.14501129182111797,0.009000981810226915,0.009003679568324449,0.008976704459448372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020531448597258917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,,,0.1029707738411452,0.1029707738411452,,,,,,,,,,,,,0.10962528809370757,0.11356984506287761,0.10203507726315457,0.10128469045189221,0.10128469045189221,0.006053480575247562,0.006055812801955092,0.006036617945187036,,,,,,,,,,,,,,,,,,,,0.04770154045847197,0.04642348540060253,,,,,,0.04650195778656368,,,,,,,0.10748596602615752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,,,,,,,,,,,,,,,,,,,,,,0.00581572723152021,0.00581797025982148,0.005799521453198352,,,,,,,,,,,,0.20499193492290893,0.18065271946893377,0.15835191569513615,0.15835191569513615,,,,,0.04363177565587336,0.042463006243126294,,,,,0.1414487486111598,0.04254873212867195,0.003419432610976833,0.003371035803525636,0.0033355642200110316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,,,,,,,,,,,,,,,,,,,,,,0.005741723336705031,0.005744203383450293,0.0057257163585637825,,,,,,,,,,,,0.20397897153906625,0.17976002781215003,0.15756942299648025,0.15756942299648025,,,,,0.04563822481579122,,,,,,,0.043862783973973106,0.0034012617745598486,0.0033501978339624556,0.003314454936257284,0.14074978256116688,0.04359380568139315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,,,,,,,,,,,,,,,0.1484381621766329,,,,,,,0.0083713648793255,0.008373842935385185,0.008348199684327363,,,,,,,,,,,0.1484381621766329,,,,,,,,,0.06845903695947547,0.06668547812530391,,,,,,0.06693864681200073,0.006543240141031835,0.006454910361859382,0.006366875107037126,,,,0.15716704026032638,0.1509768782040284,0.1484381621766329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,,,,,,,,,,,,,,,0.1404355155998028,,,,,,,0.010729948828058966,0.010732890032505694,0.010699652216713124,,,,,,,,,,,0.1404355155998028,,,,,,,,,0.0815245888727765,0.07932723191057763,,,,,,0.07950063113890898,0.006600049727343046,0.006510772089006331,0.006421681871917506,,,,0.14332300325639186,0.14332300325639186,0.14043551559980277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,,,,,,,,,,,,,,,0.1430590684896609,,,,,,,0.00988500581114476,0.009887517245844033,0.00985631043473986,,,,,,,,,,,0.1430590684896609,,,,,,,,,0.0787563404871396,,,,,,,0.07576289666780864,0.0059624083247975255,0.0058814314673232065,0.005799705467251762,,0.07531338932737187,,0.14685889464879798,0.146858894648798,0.1430590684896609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,,,,,,,,,,,,,,,0.14419897246203736,,,,,,,0.0099471342490668,0.009949867151803043,0.0099181502362654,,,,,,,,,,,0.14419897246203736,,,,,,,,,0.07589325868879455,,0.07341387489341918,,,,,0.07340624026983372,0.006158180423782526,0.006087292612248775,0.006002984671236539,,,,0.1483130497087186,0.14831304970871861,0.14419897246203736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,,,,,,,,,,,,,,,0.1438827768351944,,,,,,,0.009927316636280641,0.009930489349509415,0.00989837570121355,,,,,,,,,,,0.14388277683519443,,,,,,,,,0.0774261361539798,,,,,,,0.07382708448987685,0.005988148542546226,0.005914288263167481,0.00583188999360327,,,,0.14798783284398692,0.14798783284398692,0.14388277683519443,0.07363227467626572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,,,,,,,,,,,,,,,,,,,,,,0.00632960203403025,0.0063316256313413,0.006311041308069066,,,,,,,,,,,,0.21025136821528143,0.1877414449739643,0.1476109749746202,0.1476109749746202,,,,,0.04956300990061045,,,,,,0.1322707768671936,0.04725913885497295,0.0038995691223356593,0.003871538353474623,,,,,,,,0.04713443470208142,0.003814500087404486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,,,,,,,,,,,,,,,0.14157753144349178,,,,,,,0.010535314514231103,0.010539175446475717,0.0105044062401895,,,,,,,,,,,0.14157753144349175,,,,,,,,,0.08060750369963099,,,,,,,0.07689288032554092,0.006567808788915193,0.006521324701775924,,,,,0.1450842339186294,0.1450842339186294,0.14157753144349175,0.07650641996649078,0.006424104149015759,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,,,,,,,,,,,,,,,0.14244011767312476,,,,,,,0.009930309514270253,0.009914378156349591,,,,,,,,,,,,0.14244011767312476,,,,,,,,,0.08006491701691396,,,,,,,0.07637529758267543,0.006409139183240817,0.006363628565722916,,,,,0.14572654420865722,0.14572654420865722,0.14244011767312476,0.0759914385725642,0.006282371912227028,0.009895078059347084,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,,,,,,,,,,,,,,,0.14120867888114033,,,,,,,,,,,,,0.009502010731212901,0.009458956555239489,0.00944762727992658,,,,,0.14120867888114033,,,,,,,,,0.08174797343201444,,0.07773851692515092,,,,,0.07817769642371011,0.007426758954295316,0.007397857127759352,,,,,0.14411050362733888,0.14411050362733888,0.14120867888114033,,0.007255558672592192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010050128431434805,0.010004973594123279,0.00999152257926591,,,,,,,,,,,,,,0.0863923524315491,,,,,,,0.08329952237559025,0.007777559503715178,0.007717050488240119,,,0.08278127572184157,,0.14495270171297508,0.13954347816601742,0.13639892421287494,,0.0075973414779787725,,0.1367465846521967,0.1367465846521967,,,,,,,,,,,,,,,,,,,,,,,,,
844,,,,,,,,,,,,,,,,,,,,,,0.005912332019552608,0.005903984155145914,,,,,,,,,,,,,0.19196833278053455,0.17425234715565127,0.16043435160524258,0.15447484208830972,,,,,0.04807499793362346,,,,,,,0.04637462079827146,0.004508884427376694,0.0044782995625597816,,0.1472411325086966,0.046084829402487884,,,,,,0.004398932778489088,0.005892112784058356,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,,,,,,,,,,,,,,,,,,,,,,0.006019123245590907,0.006019123245590907,,,,,,,,,,,,,0.19191833648473497,0.17420696481698122,0.16039256802988358,0.1544346106095716,,,,,0.04751301231380958,,,,,,,0.04649644270995189,0.004579108614624323,0.0045536080206724895,,0.1472027849796633,0.04618424598923548,,,,,,0.0044730732878115725,0.006006997651878309,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,,,,,,,,,,,,,,,,,,,,,,0.006427230741516643,0.006427230741516643,,,,,,,,,,,,,0.19720972194198444,0.18018325557564796,0.1523554996810142,0.14702325933443572,,,,,0.050595076123767596,,,,,,,0.04951256390263992,0.004937062080722253,0.004908644850547358,,0.14001234827969716,0.049180115672544274,,,,,,0.004813452806052449,0.006414538267913301,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,,,,,,,,,,,,,,,,,,,,,,0.006415130542758569,0.006415130542758569,,,,,,,,,,,,,0.1973378132843604,0.18030028791489108,0.15245445738086952,0.14711875364609125,,,,,0.050420211527923836,,,,,,,0.04934144064047022,0.004949308645361318,0.004907663743198506,,0.14010328887564624,0.04901014140410773,,,,,,0.0048244807267904906,0.006401891124772303,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,,,,,,,,,,,,,,,,,,,,,,0.006043024827486442,0.006043024827486442,,,,,,,,,,,,,0.19727980766863273,0.17468094225506178,0.16091459268087271,0.15373055480542405,,,,,0.04659781148442282,,,,,,,0.04560082315523647,0.004382935151114246,0.004346006188912969,,0.1447786534103277,0.045294640001831754,,,,,,0.004276383585292913,0.006030799957896944,,,,,,,,,,,,,,,,,,,,,,,,,,,
